,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
1,PCA1,0.12807748965888868,2.7629506253431168e-11,22.51126936505023,0.01,0.05
2,PCA2,0.12334581323194614,6.760102982310302e-11,14.503203281860513,0.01,0.05
10,PCA10,0.1098145556975677,8.543580328216443e-10,2.630641140941323,0.01,0.05
17,PCA17,0.0898507872211762,3.413721707083858e-08,1.290212694318564,0.01,0.05
7,PCA7,0.043010440644424275,0.0001624546365090972,4.394185847423009,0.01,0.05
0,PCA0,0.039021477481086426,0.00033274764509047663,42.84128814722025,0.01,0.05
20,PCA20,0.038969453075231655,0.0003358762051734842,0.8348242768486475,0.01,0.05
23,PCA23,0.0368886683344227,0.0004884553812891455,0.6244320242240993,0.01,0.05
13,PCA13,0.03384832675442143,0.0008450384683522072,1.9147208971362502,0.01,0.05
8,PCA8,0.029840483237995367,0.0017447312976671095,3.694554791599195,0.01,0.05
33,PCA33,0.028193959754394492,0.002352595642712136,0.29228728117864866,0.01,0.05
24,PCA24,0.0277922176551188,0.002530888901887512,0.5938300066711212,0.01,0.05
26,PCA26,0.023236317989319338,0.005818436239895883,0.4798895172452751,0.01,0.05
11,PCA11,0.018288029854054474,0.014543317167304731,2.2666556512057205,0.01,0.05
38,PCA38,0.01613885789556031,0.02177684999449626,0.18242665758333423,0.01,0.05
12,PCA12,0.015917323086471976,0.022708169271480252,2.239878834894096,0.01,0.05
9,PCA9,0.011236734956363275,0.055878643452641485,2.9945300736135514,0.01,0.05
15,PCA15,0.009348674837405334,0.08130957050835312,1.4829382627907282,0.01,0.05
21,PCA21,0.00888152258967296,0.08935171417261978,0.7780492899323364,0.01,0.05
18,PCA18,0.008238779127418874,0.10185270360396584,1.0584912125509622,0.01,0.05
19,PCA19,0.007864502892350843,0.10999943699943865,0.9639118096180129,0.01,0.05
14,PCA14,0.0073180021917163595,0.12320608741864622,1.6401914491505716,0.01,0.05
5,PCA5,0.006685828411313135,0.14071409834546558,6.839457629268863,0.01,0.05
3,PCA3,0.006540879103128678,0.14510878219077425,12.400072528472625,0.01,0.05
34,PCA34,0.006291339186045493,0.1530403896870109,0.2663216639527135,0.01,0.05
76,PCA76,0.005946856386563538,0.16480714783188116,0.01686305582918071,0.01,0.05
66,PCA66,0.0037818881750421086,0.2682327761443605,0.031096044198036837,0.01,0.05
75,PCA75,0.0034416732223952915,0.29093199066406883,0.020206723634273484,0.01,0.05
47,PCA47,0.0034039736238687403,0.29359428642403923,0.11191053243447963,0.01,0.05
28,PCA28,0.003202353883985039,0.30837437155274916,0.3769921179058998,0.01,0.05
106,PCA106,0.003165568456967751,0.3111737450403303,0.0010183569006619526,0.01,0.05
97,PCA97,0.00292383774883853,0.3304206647353802,0.003158275324200579,0.01,0.05
121,PCA121,0.0025143672411120114,0.36681570992361745,0.00013591158975799876,0.01,0.05
93,PCA93,0.0019412144922939828,0.42787147254541497,0.004468819528528217,0.01,0.05
116,PCA116,0.0018777716644315734,0.43553011667346936,0.0002217384001333123,0.01,0.05
25,PCA25,0.0017905826521167284,0.44640110174575004,0.5353553561014032,0.01,0.05
52,PCA52,0.0017075569225748443,0.4571483531351797,0.07269948582804839,0.01,0.05
60,PCA60,0.0016418457662361265,0.4659457197743915,0.045406349746073445,0.01,0.05
35,PCA35,0.0016333098932538928,0.4671082369032205,0.24264948100164005,0.01,0.05
40,PCA40,0.0015916469778188393,0.47284973749909165,0.1601660470926735,0.01,0.05
