,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
2,PCA2,0.13451341935568392,8.127129417670863e-12,16.88215255157275,0.01,0.05
7,PCA7,0.11265962799472566,5.025047687129366e-10,5.064713741396535,0.01,0.05
12,PCA12,0.09209694690020497,2.261189969239365e-08,2.4743080578529435,0.01,0.05
10,PCA10,0.09027669782282746,3.1574114291519404e-08,3.1978402226868323,0.01,0.05
1,PCA1,0.06895196980179794,1.5279352331062957e-06,24.36186266848624,0.01,0.05
0,PCA0,0.05684354022219839,1.3543390966792131e-05,46.785959327777896,0.01,0.05
11,PCA11,0.036353432056246804,0.0005378909582443109,2.7008476001145327,0.01,0.05
13,PCA13,0.033382894786197714,0.0009191179886619957,2.381789972962697,0.01,0.05
8,PCA8,0.031052445212519916,0.001400760593501967,4.636620196203773,0.01,0.05
20,PCA20,0.02640919754438327,0.0032558315613906014,1.0808522222900894,0.01,0.05
28,PCA28,0.026113292746730198,0.003436395851144278,0.4657844999854004,0.01,0.05
16,PCA16,0.02603971015967856,0.00348284750829621,1.5774861736109231,0.01,0.05
26,PCA26,0.023266696943652715,0.005786060625863204,0.5911762722522547,0.01,0.05
22,PCA22,0.019613827076127834,0.011359781032924713,0.9003627273202643,0.01,0.05
19,PCA19,0.017270531384821368,0.01759686732643308,1.134338435138515,0.01,0.05
14,PCA14,0.015749165224845728,0.023442445305262755,1.9697891445964275,0.01,0.05
9,PCA9,0.015410012362447304,0.02499886515079817,3.3050830804213893,0.01,0.05
21,PCA21,0.011120677428500588,0.057167794734474926,0.9258926294865684,0.01,0.05
15,PCA15,0.010833300790616163,0.060497132890217825,1.701053548330323,0.01,0.05
27,PCA27,0.008086659242024227,0.10508156201754755,0.5717369898762547,0.01,0.05
53,PCA53,0.006395435540795964,0.14967384171415246,0.09050756891686441,0.01,0.05
59,PCA59,0.004900851361025884,0.20742245227020284,0.05176422093372511,0.01,0.05
36,PCA36,0.004454289733079822,0.22946346384973937,0.2700676777497737,0.01,0.05
5,PCA5,0.004233687594064538,0.2413814827630338,7.3128120269319625,0.01,0.05
46,PCA46,0.003809644537609298,0.2664803019309644,0.14109145938264625,0.01,0.05
39,PCA39,0.003800030462998699,0.26708569868101917,0.21326338329541228,0.01,0.05
32,PCA32,0.0032949332735805847,0.3014717511033661,0.35161506330015707,0.01,0.05
65,PCA65,0.003222838928431545,0.306829591857784,0.049536300894283514,0.01,0.05
29,PCA29,0.003199380812711662,0.30859940695855675,0.41732102592465115,0.01,0.05
25,PCA25,0.00306308713692191,0.31914894371254193,0.6501881124003083,0.01,0.05
60,PCA60,0.0025673204263349787,0.36181103896607675,0.05296436506375811,0.01,0.05
109,PCA109,0.0024112876938372167,0.37683709052979625,0.0038328702981135607,0.01,0.05
51,PCA51,0.0023801182020316016,0.3799427421465564,0.10601231317835078,0.01,0.05
24,PCA24,0.0023643924703680022,0.38152329903137217,0.7162267647167138,0.01,0.05
75,PCA75,0.0021853510104625517,0.40019652999030364,0.02447853913869796,0.01,0.05
34,PCA34,0.0019928100576151763,0.4217915349357432,0.32948294379961596,0.01,0.05
63,PCA63,0.0018836385913827659,0.43481319348866215,0.06081216797852078,0.01,0.05
105,PCA105,0.0016300495323766258,0.4675534964432337,0.004626414488721998,0.01,0.05
17,PCA17,0.0015197377403816691,0.48303214580747195,1.4570964178632546,0.01,0.05
69,PCA69,0.0014746863837506732,0.48959609555426775,0.03737736610721991,0.01,0.05
