,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
13,PCA13,0.10056990391942748,4.749251865516646e-09,2.381789972962697,0.01,0.05
2,PCA2,0.08026559344412255,1.964553165494042e-07,16.88215255157275,0.01,0.05
12,PCA12,0.0719002937106476,8.964655846965017e-07,2.4743080578529435,0.01,0.05
15,PCA15,0.06817709643427493,1.7575375248497617e-06,1.701053548330323,0.01,0.05
1,PCA1,0.053236952677325755,2.589427301137776e-05,24.36186266848624,0.01,0.05
26,PCA26,0.039346713865049635,0.0003138405973833198,0.5911762722522547,0.01,0.05
27,PCA27,0.038383228079406535,0.00037323587885613053,0.5717369898762547,0.01,0.05
10,PCA10,0.036747866499774635,0.0005010001338676166,3.1978402226868323,0.01,0.05
7,PCA7,0.03611103224175512,0.0005619026762012765,5.064713741396535,0.01,0.05
28,PCA28,0.029597230200381096,0.0018234246540631636,0.4657844999854004,0.01,0.05
21,PCA21,0.02950332807968659,0.0018547507896006725,0.9258926294865684,0.01,0.05
20,PCA20,0.023836312457280472,0.005211717501289736,1.0808522222900894,0.01,0.05
24,PCA24,0.01911040020687084,0.012475035363593834,0.7162267647167138,0.01,0.05
9,PCA9,0.015953424822671442,0.02255364443878969,3.3050830804213893,0.01,0.05
25,PCA25,0.013737728672452357,0.034394658720136854,0.6501881124003083,0.01,0.05
19,PCA19,0.012265291404810419,0.045706814209421485,1.134338435138515,0.01,0.05
18,PCA18,0.010399697424071732,0.06591495360565225,1.258218936889392,0.01,0.05
11,PCA11,0.009465468137873141,0.0794229611761451,2.7008476001145327,0.01,0.05
59,PCA59,0.008798788642439189,0.09086333713426942,0.05176422093372511,0.01,0.05
30,PCA30,0.008477329113526335,0.09700462759462672,0.38885940068475516,0.01,0.05
4,PCA4,0.008316681633323579,0.10024113032460241,9.706346698915713,0.01,0.05
5,PCA5,0.008084498614187452,0.10512821922911021,7.3128120269319625,0.01,0.05
14,PCA14,0.00794551881920501,0.1081774392189799,1.9697891445964275,0.01,0.05
113,PCA113,0.006980024155833537,0.13224424071069046,0.0018737163475463952,0.01,0.05
44,PCA44,0.0067300547768397645,0.13940302337183244,0.15752314945091192,0.01,0.05
68,PCA68,0.006405376167143959,0.14935674345301408,0.042536534177107385,0.01,0.05
86,PCA86,0.006265382111588723,0.15389310730627362,0.013175194054292438,0.01,0.05
45,PCA45,0.005789025789084105,0.17053941678498902,0.15050686958228132,0.01,0.05
57,PCA57,0.005757984386222835,0.1716934249427688,0.07092023336729379,0.01,0.05
22,PCA22,0.005669247373658359,0.17504198440977065,0.9003627273202643,0.01,0.05
17,PCA17,0.004815141959786568,0.21145104801180856,1.4570964178632546,0.01,0.05
62,PCA62,0.004478059621829389,0.22822201991123328,0.06432858799242869,0.01,0.05
72,PCA72,0.004260709176642919,0.2398821230848641,0.03232197677614992,0.01,0.05
40,PCA40,0.0037833740726778025,0.268138597818201,0.19380314126273465,0.01,0.05
95,PCA95,0.0037625852789126227,0.2694599679222287,0.007794521511828747,0.01,0.05
88,PCA88,0.0037170958770879397,0.27237975120209146,0.011157155701143872,0.01,0.05
63,PCA63,0.003577869901625056,0.2815654482125069,0.06081216797852078,0.01,0.05
31,PCA31,0.003517712151527794,0.285654861246377,0.37354779100507457,0.01,0.05
39,PCA39,0.0034901683950821854,0.2875522810487221,0.21326338329541228,0.01,0.05
78,PCA78,0.003218416754805625,0.30716221984320635,0.022734539223525176,0.01,0.05
