,logPOP,dPOP,dHHS,d1,d2,d3,d4-d5,d6+,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi
logPOP,1.0,0.015063698501427546,0.23777897955029145,-0.2703630983082891,0.02785129688476177,0.14689350838898244,0.7979066137048586,0.1294889480800267,0.12005209254514528,0.01112560978469122,-0.09793484123804727,0.3062729447706251,0.16624669187595023,0.19887176051143565
dPOP,0.015063698501427546,1.0,0.41845237623136866,0.32762245002361556,-0.8167893683734129,0.1914741285370146,-0.1906283618976657,0.5254146598093445,0.7122090356271782,0.5768364246110872,-0.8519127373931635,0.4304531260336424,0.48691974182009423,0.4255935459836892
dHHS,0.23777897955029145,0.41845237623136866,1.0,-0.41688769247199264,-0.6043628289578258,0.4047294481940493,0.10273801891353661,0.774723125293744,0.5587661085957051,0.40598705657513173,-0.6476374002281097,0.4524399605875862,0.39964095445791553,0.3330516536849884
d1,-0.2703630983082891,0.32762245002361556,-0.41688769247199264,1.0,-0.18373230661917267,-0.7015949801729173,-0.24194993217197353,-0.15064487172228003,0.1977788926100436,-0.009567825543130003,-0.15691198809827586,-0.08279025133555064,-0.029977734463509875,0.154172886200143
d2,0.02785129688476177,-0.8167893683734129,-0.6043628289578258,-0.18373230661917267,1.0,-0.2664462417642681,0.19019575694670857,-0.7911441313574769,-0.7378510929047691,-0.5139162139303619,0.8406221920508884,-0.4800011173060718,-0.5141577162102873,-0.4678047706326906
d3,0.14689350838898244,0.1914741285370146,0.4047294481940493,-0.7015949801729173,-0.2664462417642681,1.0,-0.0016884921826069278,0.22590086517770827,0.15508524435714965,0.3197275717477118,-0.2691660294758137,0.19887679022620194,0.2614362297746884,-0.056805844080558
d4-d5,0.7979066137048586,-0.1906283618976657,0.10273801891353661,-0.24194993217197353,0.19019575694670857,-0.0016884921826069278,1.0,-0.04151284170849928,-0.08146808187187315,-0.0783216196802581,0.10031089180130114,0.12283001541264722,0.03277282193503239,0.07293655532102394
d6+,0.1294889480800267,0.5254146598093445,0.774723125293744,-0.15064487172228003,-0.7911441313574769,0.22590086517770827,-0.04151284170849928,1.0,0.6307934212403147,0.31358514938795534,-0.6559211399619339,0.4750405258342523,0.46233590098546945,0.42694169840122825
0-29,0.12005209254514528,0.7122090356271782,0.5587661085957051,0.1977788926100436,-0.7378510929047691,0.15508524435714965,-0.08146808187187315,0.6307934212403147,1.0,0.16049697372271451,-0.8699300983560897,0.46271119956521933,0.5364651062069572,0.4577684565042511
30-59,0.01112560978469122,0.5768364246110872,0.40598705657513173,-0.009567825543130003,-0.5139162139303619,0.3197275717477118,-0.0783216196802581,0.31358514938795534,0.16049697372271451,1.0,-0.6256437222071198,0.315944614946504,0.3079364205291678,0.23023273522081694
60-89,-0.09793484123804727,-0.8519127373931635,-0.6476374002281097,-0.15691198809827586,0.8406221920508884,-0.2691660294758137,0.10031089180130114,-0.6559211399619339,-0.8699300983560897,-0.6256437222071198,1.0,-0.5224744686128061,-0.5751093142523847,-0.48144354184872395
Indian,0.3062729447706251,0.4304531260336424,0.4524399605875862,-0.08279025133555064,-0.4800011173060718,0.19887679022620194,0.12283001541264722,0.4750405258342523,0.46271119956521933,0.315944614946504,-0.5224744686128061,1.0,0.7332709374996045,0.6167643720510331
Pakistani,0.16624669187595023,0.48691974182009423,0.39964095445791553,-0.029977734463509875,-0.5141577162102873,0.2614362297746884,0.03277282193503239,0.46233590098546945,0.5364651062069572,0.3079364205291678,-0.5751093142523847,0.7332709374996045,1.0,0.4999795110215111
Bangladeshi,0.19887176051143565,0.4255935459836892,0.3330516536849884,0.154172886200143,-0.4678047706326906,-0.056805844080558,0.07293655532102394,0.42694169840122825,0.4577684565042511,0.23023273522081694,-0.48144354184872395,0.6167643720510331,0.4999795110215111,1.0
