,logPOP,dPOP,dHHS,d1,d2,d3,d4-d5,d6+,0-29,30-59,60-89
logPOP,1.0,0.015063698501427546,0.23777897955029145,-0.2703630983082891,0.02785129688476177,0.14689350838898244,0.20819586609580124,0.1294889480800267,0.12005209254514528,0.01112560978469122,-0.09793484123804727
dPOP,0.015063698501427546,1.0,0.41845237623136866,0.32762245002361556,-0.8167893683734129,0.1914741285370146,0.19152551242232013,0.5254146598093445,0.7122090356271782,0.5768364246110872,-0.8519127373931635
dHHS,0.23777897955029145,0.41845237623136866,1.0,-0.41688769247199264,-0.6043628289578258,0.4047294481940493,0.746880185123255,0.774723125293744,0.5587661085957051,0.40598705657513173,-0.6476374002281097
d1,-0.2703630983082891,0.32762245002361556,-0.41688769247199264,1.0,-0.18373230661917267,-0.7015949801729173,-0.7640401885840087,-0.15064487172228003,0.1977788926100436,-0.009567825543130003,-0.15691198809827586
d2,0.02785129688476177,-0.8167893683734129,-0.6043628289578258,-0.18373230661917267,1.0,-0.2664462417642681,-0.4507513091546598,-0.7911441313574769,-0.7378510929047691,-0.5139162139303619,0.8406221920508884
d3,0.14689350838898244,0.1914741285370146,0.4047294481940493,-0.7015949801729173,-0.2664462417642681,1.0,0.717849214411424,0.22590086517770827,0.15508524435714965,0.3197275717477118,-0.2691660294758137
d4-d5,0.20819586609580124,0.19152551242232013,0.746880185123255,-0.7640401885840087,-0.4507513091546598,0.717849214411424,1.0,0.5719265082530379,0.23871611447508193,0.33845617173725734,-0.3572558512879315
d6+,0.1294889480800267,0.5254146598093445,0.774723125293744,-0.15064487172228003,-0.7911441313574769,0.22590086517770827,0.5719265082530379,1.0,0.6307934212403147,0.31358514938795534,-0.6559211399619339
0-29,0.12005209254514528,0.7122090356271782,0.5587661085957051,0.1977788926100436,-0.7378510929047691,0.15508524435714965,0.23871611447508193,0.6307934212403147,1.0,0.16049697372271451,-0.8699300983560897
30-59,0.01112560978469122,0.5768364246110872,0.40598705657513173,-0.009567825543130003,-0.5139162139303619,0.3197275717477118,0.33845617173725734,0.31358514938795534,0.16049697372271451,1.0,-0.6256437222071198
60-89,-0.09793484123804727,-0.8519127373931635,-0.6476374002281097,-0.15691198809827586,0.8406221920508884,-0.2691660294758137,-0.3572558512879315,-0.6559211399619339,-0.8699300983560897,-0.6256437222071198,1.0
