,logPOP,dPOP,dHHS,d1,d2,d3,d4-d5,d6+,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi
logPOP,1.0,0.015063698501427546,0.23777897955029145,-0.2703630983082891,0.02785129688476177,0.14689350838898244,0.7979066137048586,0.1294889480800267,0.12005209254514528,0.01112560978469122,-0.09793484123804727,0.06548637081134216,0.09086151918977593,0.021910781185700282
dPOP,0.015063698501427546,1.0,0.41845237623136866,0.32762245002361556,-0.8167893683734129,0.1914741285370146,-0.1906283618976657,0.5254146598093445,0.7122090356271782,0.5768364246110872,-0.8519127373931635,0.4127415041052625,0.3375570987398556,0.3297769775641827
dHHS,0.23777897955029145,0.41845237623136866,1.0,-0.41688769247199264,-0.6043628289578258,0.4047294481940493,0.10273801891353661,0.774723125293744,0.5587661085957051,0.40598705657513173,-0.6476374002281097,0.6230852357305952,0.466830640484019,0.4707565738020086
d1,-0.2703630983082891,0.32762245002361556,-0.41688769247199264,1.0,-0.18373230661917267,-0.7015949801729173,-0.24194993217197353,-0.15064487172228003,0.1977788926100436,-0.009567825543130003,-0.15691198809827586,-0.19922284989613454,-0.11536884656000349,0.1125598285761323
d2,0.02785129688476177,-0.8167893683734129,-0.6043628289578258,-0.18373230661917267,1.0,-0.2664462417642681,0.19019575694670857,-0.7911441313574769,-0.7378510929047691,-0.5139162139303619,0.8406221920508884,-0.6400150316303336,-0.5437435973581074,-0.34987283072453634
d3,0.14689350838898244,0.1914741285370146,0.4047294481940493,-0.7015949801729173,-0.2664462417642681,1.0,-0.0016884921826069278,0.22590086517770827,0.15508524435714965,0.3197275717477118,-0.2691660294758137,0.2484511775072029,0.15887361927314433,-0.11122064320329013
d4-d5,0.7979066137048586,-0.1906283618976657,0.10273801891353661,-0.24194993217197353,0.19019575694670857,-0.0016884921826069278,1.0,-0.04151284170849928,-0.08146808187187315,-0.0783216196802581,0.10031089180130114,-0.02543075009484569,-0.011169011933725496,-0.07056324393926487
d6+,0.1294889480800267,0.5254146598093445,0.774723125293744,-0.15064487172228003,-0.7911441313574769,0.22590086517770827,-0.04151284170849928,1.0,0.6307934212403147,0.31358514938795534,-0.6559211399619339,0.7184328463955467,0.7372791195030726,0.5194211356695111
0-29,0.12005209254514528,0.7122090356271782,0.5587661085957051,0.1977788926100436,-0.7378510929047691,0.15508524435714965,-0.08146808187187315,0.6307934212403147,1.0,0.16049697372271451,-0.8699300983560897,0.41860916497714096,0.4752646685498799,0.3529870569078495
30-59,0.01112560978469122,0.5768364246110872,0.40598705657513173,-0.009567825543130003,-0.5139162139303619,0.3197275717477118,-0.0783216196802581,0.31358514938795534,0.16049697372271451,1.0,-0.6256437222071198,0.24560212401226064,0.12850792249433984,0.2472903318028052
60-89,-0.09793484123804727,-0.8519127373931635,-0.6476374002281097,-0.15691198809827586,0.8406221920508884,-0.2691660294758137,0.10031089180130114,-0.6559211399619339,-0.8699300983560897,-0.6256437222071198,1.0,-0.45584434685917685,-0.43898156860920456,-0.4030312507836545
Indian,0.06548637081134216,0.4127415041052625,0.6230852357305952,-0.19922284989613454,-0.6400150316303336,0.2484511775072029,-0.02543075009484569,0.7184328463955467,0.41860916497714096,0.24560212401226064,-0.45584434685917685,1.0,0.44472895971844995,0.15937448429808926
Pakistani,0.09086151918977593,0.3375570987398556,0.466830640484019,-0.11536884656000349,-0.5437435973581074,0.15887361927314433,-0.011169011933725496,0.7372791195030726,0.4752646685498799,0.12850792249433984,-0.43898156860920456,0.44472895971844995,1.0,0.2303064052436066
Bangladeshi,0.021910781185700282,0.3297769775641827,0.4707565738020086,0.1125598285761323,-0.34987283072453634,-0.11122064320329013,-0.07056324393926487,0.5194211356695111,0.3529870569078495,0.2472903318028052,-0.4030312507836545,0.15937448429808926,0.2303064052436066,1.0
