,logPOP,dPOP,dHHS,d1,d2,d3,d4,d5,d6,d7,d8,0-29,30-59,60-89,Indian,Pakistani,Bangladeshi
logPOP,1.0,0.015063698501427546,0.23777897955029145,-0.2703630983082891,0.02785129688476177,0.14689350838898244,0.21511409233848122,0.15293539609501525,0.14632077103681007,0.11299311424182398,0.08919276114491181,0.12005209254514528,0.01112560978469122,-0.09793484123804727,0.3062729447706251,0.16624669187595023,0.19887176051143565
dPOP,0.015063698501427546,1.0,0.41845237623136866,0.32762245002361556,-0.8167893683734129,0.1914741285370146,0.009466355093774088,0.4253968626336478,0.5253095405420014,0.5161156087544937,0.5120547662796415,0.7122090356271782,0.5768364246110872,-0.8519127373931635,0.4304531260336424,0.48691974182009423,0.4255935459836892
dHHS,0.23777897955029145,0.41845237623136866,1.0,-0.41688769247199264,-0.6043628289578258,0.4047294481940493,0.5802910278935628,0.837855279424899,0.7897827795570953,0.7533041368864786,0.7164016417049328,0.5587661085957051,0.40598705657513173,-0.6476374002281097,0.4524399605875862,0.39964095445791553,0.3330516536849884
d1,-0.2703630983082891,0.32762245002361556,-0.41688769247199264,1.0,-0.18373230661917267,-0.7015949801729173,-0.8599357345390093,-0.45470880675658415,-0.18541666212840333,-0.11457543557273331,-0.0745923040654347,0.1977788926100436,-0.009567825543130003,-0.15691198809827586,-0.08279025133555064,-0.029977734463509875,0.154172886200143
d2,0.02785129688476177,-0.8167893683734129,-0.6043628289578258,-0.18373230661917267,1.0,-0.2664462417642681,-0.19889426138815902,-0.7342974933014982,-0.7998512617974144,-0.7705518569705269,-0.7506682365306447,-0.7378510929047691,-0.5139162139303619,0.8406221920508884,-0.4800011173060718,-0.5141577162102873,-0.4678047706326906
d3,0.14689350838898244,0.1914741285370146,0.4047294481940493,-0.7015949801729173,-0.2664462417642681,1.0,0.7609242502864139,0.49827045017049526,0.26395257957886964,0.1801786371149272,0.14636949863875814,0.15508524435714965,0.3197275717477118,-0.2691660294758137,0.19887679022620194,0.2614362297746884,-0.056805844080558
d4,0.21511409233848122,0.009466355093774088,0.5802910278935628,-0.8599357345390093,-0.19889426138815902,0.7609242502864139,1.0,0.6576779396222242,0.3403738486606529,0.24213824162289893,0.18948017637430756,0.0312361979999873,0.26998535434406695,-0.157995959483465,0.26047281556202123,0.2123723979500737,0.03583995683012566
d5,0.15293539609501525,0.4253968626336478,0.837855279424899,-0.45470880675658415,-0.7342974933014982,0.49827045017049526,0.6576779396222242,1.0,0.9001939072452042,0.829552787181714,0.7788175577863425,0.5008419663581658,0.36907416841181134,-0.5814496437089003,0.46619246885057186,0.40729212147085625,0.3463804215376697
d6,0.14632077103681007,0.5253095405420014,0.7897827795570953,-0.18541666212840333,-0.7998512617974144,0.26395257957886964,0.3403738486606529,0.9001939072452042,1.0,0.9804305635458694,0.9532813555752558,0.630269966882543,0.3205943412017679,-0.6590646176058993,0.4897235384567169,0.46309271720032896,0.4268021613901883
d7,0.11299311424182398,0.5161156087544937,0.7533041368864786,-0.11457543557273331,-0.7705518569705269,0.1801786371149272,0.24213824162289893,0.829552787181714,0.9804305635458694,1.0,0.9812023645889133,0.6309967938165117,0.29085792799377086,-0.6444242731001452,0.4632466681723539,0.4577113885190025,0.42936717331649005
d8,0.08919276114491181,0.5120547662796415,0.7164016417049328,-0.0745923040654347,-0.7506682365306447,0.14636949863875814,0.18948017637430756,0.7788175577863425,0.9532813555752558,0.9812023645889133,1.0,0.6043488182060325,0.3015553398709506,-0.6291198670507981,0.421256610990659,0.44434718742184787,0.40604825220710355
0-29,0.12005209254514528,0.7122090356271782,0.5587661085957051,0.1977788926100436,-0.7378510929047691,0.15508524435714965,0.0312361979999873,0.5008419663581658,0.630269966882543,0.6309967938165117,0.6043488182060325,1.0,0.16049697372271451,-0.8699300983560897,0.46271119956521933,0.5364651062069572,0.4577684565042511
30-59,0.01112560978469122,0.5768364246110872,0.40598705657513173,-0.009567825543130003,-0.5139162139303619,0.3197275717477118,0.26998535434406695,0.36907416841181134,0.3205943412017679,0.29085792799377086,0.3015553398709506,0.16049697372271451,1.0,-0.6256437222071198,0.315944614946504,0.3079364205291678,0.23023273522081694
60-89,-0.09793484123804727,-0.8519127373931635,-0.6476374002281097,-0.15691198809827586,0.8406221920508884,-0.2691660294758137,-0.157995959483465,-0.5814496437089003,-0.6590646176058993,-0.6444242731001452,-0.6291198670507981,-0.8699300983560897,-0.6256437222071198,1.0,-0.5224744686128061,-0.5751093142523847,-0.48144354184872395
Indian,0.3062729447706251,0.4304531260336424,0.4524399605875862,-0.08279025133555064,-0.4800011173060718,0.19887679022620194,0.26047281556202123,0.46619246885057186,0.4897235384567169,0.4632466681723539,0.421256610990659,0.46271119956521933,0.315944614946504,-0.5224744686128061,1.0,0.7332709374996045,0.6167643720510331
Pakistani,0.16624669187595023,0.48691974182009423,0.39964095445791553,-0.029977734463509875,-0.5141577162102873,0.2614362297746884,0.2123723979500737,0.40729212147085625,0.46309271720032896,0.4577113885190025,0.44434718742184787,0.5364651062069572,0.3079364205291678,-0.5751093142523847,0.7332709374996045,1.0,0.4999795110215111
Bangladeshi,0.19887176051143565,0.4255935459836892,0.3330516536849884,0.154172886200143,-0.4678047706326906,-0.056805844080558,0.03583995683012566,0.3463804215376697,0.4268021613901883,0.42936717331649005,0.40604825220710355,0.4577684565042511,0.23023273522081694,-0.48144354184872395,0.6167643720510331,0.4999795110215111,1.0
