,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
9,PCA9,0.07564875818585315,4.545117763351617e-07,2.9945300736135514,0.01,0.05
2,PCA2,0.07131916277079578,9.958818201459374e-07,14.503203281860513,0.01,0.05
22,PCA22,0.06815844295248513,1.7634694028600678e-06,0.7158504463391472,0.01,0.05
10,PCA10,0.0555333851617704,1.7139860986223987e-05,2.630641140941323,0.01,0.05
33,PCA33,0.05473624594981096,1.9779740455807073e-05,0.29228728117864866,0.01,0.05
1,PCA1,0.04924960285236923,5.298846882950677e-05,22.51126936505023,0.01,0.05
4,PCA4,0.0334466080510827,0.0009086037729654985,8.914935323583821,0.01,0.05
13,PCA13,0.027870749233772158,0.002494995272429568,1.9147208971362502,0.01,0.05
3,PCA3,0.02764618793668104,0.0025990248962732554,12.400072528472625,0.01,0.05
44,PCA44,0.024448551814222792,0.004658580526099877,0.129287603116252,0.01,0.05
17,PCA17,0.021793991900875907,0.007587461686889928,1.290212694318564,0.01,0.05
38,PCA38,0.020931442287660296,0.008897831898310362,0.18242665758333423,0.01,0.05
20,PCA20,0.016531955067350418,0.020219930755013594,0.8348242768486475,0.01,0.05
76,PCA76,0.016293835427260997,0.021148802029822677,0.01686305582918071,0.01,0.05
7,PCA7,0.014129349141572994,0.03190754821685982,4.394185847423009,0.01,0.05
8,PCA8,0.013880516636754965,0.03346528685157994,3.694554791599195,0.01,0.05
16,PCA16,0.013671736988102971,0.03483321319182135,1.3706648893501123,0.01,0.05
75,PCA75,0.012365080003838307,0.04482925876555752,0.020206723634273484,0.01,0.05
11,PCA11,0.012105260127243363,0.04715195511287247,2.2666556512057205,0.01,0.05
26,PCA26,0.011191295940588422,0.05637967857183843,0.4798895172452751,0.01,0.05
66,PCA66,0.010422165272315941,0.06562193055987103,0.031096044198036837,0.01,0.05
21,PCA21,0.010210747251824743,0.06843497186060442,0.7780492899323364,0.01,0.05
18,PCA18,0.00837154264892516,0.09912286597086598,1.0584912125509622,0.01,0.05
15,PCA15,0.00834172811407838,0.09972890114764942,1.4829382627907282,0.01,0.05
106,PCA106,0.008291215818970516,0.10076486989799104,0.0010183569006619526,0.01,0.05
60,PCA60,0.00754735603886421,0.11746234496447076,0.045406349746073445,0.01,0.05
40,PCA40,0.007027462353319712,0.1309324075780017,0.1601660470926735,0.01,0.05
12,PCA12,0.006745240249362173,0.13895600862499624,2.239878834894096,0.01,0.05
24,PCA24,0.006709318542612499,0.1400160335137474,0.5938300066711212,0.01,0.05
49,PCA49,0.006258612390823593,0.15411638097472882,0.08723563068615653,0.01,0.05
97,PCA97,0.006059477401288097,0.16085094303050007,0.003158275324200579,0.01,0.05
41,PCA41,0.0053703371388459705,0.18688699481889434,0.1489398870688255,0.01,0.05
5,PCA5,0.005278972178803335,0.1906905684455666,6.839457629268863,0.01,0.05
52,PCA52,0.00479667920402328,0.21233090196503812,0.07269948582804839,0.01,0.05
116,PCA116,0.004428682292060171,0.230809956563867,0.0002217384001333123,0.01,0.05
39,PCA39,0.004298857317550188,0.23778452615912463,0.1732274045827425,0.01,0.05
70,PCA70,0.004145016321666726,0.24638219133794984,0.02222238755895179,0.01,0.05
121,PCA121,0.004056083984746058,0.2515249499216958,0.00013591158975799876,0.01,0.05
67,PCA67,0.004025081754958501,0.2533485296532408,0.02811239248438114,0.01,0.05
57,PCA57,0.003851602359234783,0.2638580612346185,0.05305470396813599,0.01,0.05
