,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
2,PCA2,0.09427383382816629,1.515870400406575e-08,16.88215255157275,0.01,0.05
7,PCA7,0.08054798800682296,1.8661472181090742e-07,5.064713741396535,0.01,0.05
42,PCA42,0.032606087212371064,0.0010575907158449306,0.17409609212146424,0.01,0.05
18,PCA18,0.02845079981790885,0.002245305393701674,1.258218936889392,0.01,0.05
60,PCA60,0.024941200513247736,0.004256922449108464,0.05296436506375811,0.01,0.05
17,PCA17,0.024840901621503434,0.00433575112428013,1.4570964178632546,0.01,0.05
10,PCA10,0.024587222999460485,0.004541788470391727,3.1978402226868323,0.01,0.05
23,PCA23,0.024557977819722115,0.004566170160433298,0.7654781499752119,0.01,0.05
20,PCA20,0.02443845462853695,0.00466720249898636,1.0808522222900894,0.01,0.05
53,PCA53,0.021728347796029335,0.007679896042611218,0.09050756891686441,0.01,0.05
4,PCA4,0.020632496701948867,0.009403934963458867,9.706346698915713,0.01,0.05
16,PCA16,0.01826800947487492,0.014597830953884817,1.5774861736109231,0.01,0.05
3,PCA3,0.01762738740402056,0.01645735548707385,13.074499541216438,0.01,0.05
36,PCA36,0.017548813467746584,0.016701581938844943,0.2700676777497737,0.01,0.05
11,PCA11,0.017452207665362034,0.017006959760584885,2.7008476001145327,0.01,0.05
19,PCA19,0.017330274601075883,0.01740059652144433,1.134338435138515,0.01,0.05
39,PCA39,0.016654930073907254,0.01975676559047202,0.21326338329541228,0.01,0.05
9,PCA9,0.0161832386317264,0.021595058020512942,3.3050830804213893,0.01,0.05
59,PCA59,0.015946804649361372,0.0225818991240848,0.05176422093372511,0.01,0.05
65,PCA65,0.01408554108447824,0.0321762324820178,0.049536300894283514,0.01,0.05
52,PCA52,0.014073897018041202,0.032248042512999425,0.09846169401039034,0.01,0.05
14,PCA14,0.012892247002741658,0.04047713307891908,1.9697891445964275,0.01,0.05
33,PCA33,0.012293301082567525,0.04545869020563106,0.3360608890491845,0.01,0.05
28,PCA28,0.01219976137812943,0.046292875860121485,0.4657844999854004,0.01,0.05
5,PCA5,0.011909431056903421,0.048985876392703,7.3128120269319625,0.01,0.05
12,PCA12,0.010273197535460073,0.06759092248259571,2.4743080578529435,0.01,0.05
13,PCA13,0.009734601332723617,0.07525182024589715,2.381789972962697,0.01,0.05
50,PCA50,0.009100423135140163,0.08548152034128995,0.10779085847053782,0.01,0.05
27,PCA27,0.00888109614690266,0.08935943567805335,0.5717369898762547,0.01,0.05
46,PCA46,0.008575688661508025,0.09507911516525085,0.14109145938264625,0.01,0.05
34,PCA34,0.008494414678876867,0.0966671438306092,0.32948294379961596,0.01,0.05
24,PCA24,0.006940260878971323,0.13335509709163482,0.7162267647167138,0.01,0.05
15,PCA15,0.006881036293908329,0.135028939536557,1.701053548330323,0.01,0.05
8,PCA8,0.006580214217663295,0.1439011748345889,4.636620196203773,0.01,0.05
106,PCA106,0.0062536410999841805,0.1542805732131506,0.0033245291530757184,0.01,0.05
0,PCA0,0.006233652336328612,0.15494276163973197,46.785959327777896,0.01,0.05
43,PCA43,0.005713229517521315,0.17337302003886315,0.16777490697806793,0.01,0.05
96,PCA96,0.005651479857658531,0.1757214187187431,0.0069988968599745535,0.01,0.05
105,PCA105,0.005558886315062037,0.17931163539464648,0.004626414488721998,0.01,0.05
63,PCA63,0.005528843942809235,0.1804945769888676,0.06081216797852078,0.01,0.05
