,PCs,r2_values,p_values,eigen_values,cutoff,p_cutoff
0,PCA0,0.07137844251297301,9.85256676751765e-07,46.785959327777896,0.01,0.05
13,PCA13,0.06094958857320795,6.470079561935918e-06,2.381789972962697,0.01,0.05
4,PCA4,0.037563527114258755,0.0004325670795404392,9.706346698915713,0.01,0.05
5,PCA5,0.020560578882315435,0.009530005475548189,7.3128120269319625,0.01,0.05
8,PCA8,0.01962688646808493,0.011332245279812558,4.636620196203773,0.01,0.05
15,PCA15,0.019170199715392036,0.012336907073785135,1.701053548330323,0.01,0.05
20,PCA20,0.017867571755517436,0.015733267599750612,1.0808522222900894,0.01,0.05
2,PCA2,0.017683541646723863,0.016285061598901116,16.88215255157275,0.01,0.05
17,PCA17,0.016610549134067835,0.019922647269159054,1.4570964178632546,0.01,0.05
59,PCA59,0.01624890334877457,0.021328945488233622,0.05176422093372511,0.01,0.05
40,PCA40,0.015356904120354946,0.02525208166797702,0.19380314126273465,0.01,0.05
35,PCA35,0.014881340080897622,0.027641191507594566,0.2903962248555671,0.01,0.05
30,PCA30,0.01439457632889697,0.030329817672959607,0.38885940068475516,0.01,0.05
113,PCA113,0.013615972856687676,0.035208333645971,0.0018737163475463952,0.01,0.05
86,PCA86,0.012934698389680227,0.04014645122970548,0.013175194054292438,0.01,0.05
80,PCA80,0.012258879538891425,0.04576381323350216,0.018518204355547907,0.01,0.05
72,PCA72,0.011588031896559603,0.05216004763277902,0.03232197677614992,0.01,0.05
68,PCA68,0.01071776232366054,0.06189297773957422,0.042536534177107385,0.01,0.05
88,PCA88,0.010272091906804965,0.06760576894669397,0.011157155701143872,0.01,0.05
75,PCA75,0.0099238282111904,0.07245971934308186,0.02447853913869796,0.01,0.05
44,PCA44,0.009395438842721843,0.08054846262622783,0.15752314945091192,0.01,0.05
42,PCA42,0.009063609339011187,0.08611954813720928,0.17409609212146424,0.01,0.05
28,PCA28,0.009045308194447646,0.08643863626495085,0.4657844999854004,0.01,0.05
79,PCA79,0.009027835802857983,0.08674446352639807,0.021799866522006314,0.01,0.05
78,PCA78,0.008435438255123927,0.09783750223566597,0.022734539223525176,0.01,0.05
19,PCA19,0.008237065815828504,0.10188846233868941,1.134338435138515,0.01,0.05
21,PCA21,0.00777888977157042,0.11196140103789289,0.9258926294865684,0.01,0.05
39,PCA39,0.00730058171589982,0.12365485058524436,0.21326338329541228,0.01,0.05
45,PCA45,0.007125299939928884,0.1282722390268852,0.15050686958228132,0.01,0.05
22,PCA22,0.007068083723268829,0.1298205657260078,0.9003627273202643,0.01,0.05
69,PCA69,0.00697229419643399,0.1324593822554812,0.03737736610721991,0.01,0.05
115,PCA115,0.005875147149932127,0.16738386675764785,0.0017438963597989515,0.01,0.05
103,PCA103,0.005854890198886677,0.1681200564044473,0.005290893916400654,0.01,0.05
95,PCA95,0.005764964694024965,0.17143314549916575,0.007794521511828747,0.01,0.05
62,PCA62,0.005263378654270446,0.1913486739800333,0.06432858799242869,0.01,0.05
83,PCA83,0.005198001530900925,0.19413674090518868,0.01687091452079773,0.01,0.05
71,PCA71,0.005103455878694319,0.19825289505340507,0.029340327962927855,0.01,0.05
57,PCA57,0.005099406665351894,0.1984314450771387,0.07092023336729379,0.01,0.05
27,PCA27,0.004980113302995294,0.20377712921851507,0.5717369898762547,0.01,0.05
134,PCA134,0.0047394969528730185,0.21508356642407597,0.00018171546383283078,0.01,0.05
