region_name,date,cases_7D,daily_cases,Cutoff
East Midlands,2020-02-21,,0,12-7-2020
East Midlands,2020-02-22,,0,12-7-2020
East Midlands,2020-02-23,,0,12-7-2020
East Midlands,2020-02-24,,0,12-7-2020
East Midlands,2020-02-25,,0,12-7-2020
East Midlands,2020-02-26,,0,12-7-2020
East Midlands,2020-02-27,0.0,0,12-7-2020
East Midlands,2020-02-28,0.0,0,12-7-2020
East Midlands,2020-02-29,0.0,0,12-7-2020
East Midlands,2020-03-01,0.0,0,12-7-2020
East Midlands,2020-03-02,0.2857142857142857,2,12-7-2020
East Midlands,2020-03-03,0.42857142857142855,1,12-7-2020
East Midlands,2020-03-04,0.42857142857142855,0,12-7-2020
East Midlands,2020-03-05,0.7142857142857143,2,12-7-2020
East Midlands,2020-03-06,1.0,2,12-7-2020
East Midlands,2020-03-07,1.2857142857142858,2,12-7-2020
East Midlands,2020-03-08,1.2857142857142858,0,12-7-2020
East Midlands,2020-03-09,1.8571428571428572,6,12-7-2020
East Midlands,2020-03-10,3.2857142857142856,11,12-7-2020
East Midlands,2020-03-11,5.857142857142857,18,12-7-2020
East Midlands,2020-03-12,7.285714285714286,12,12-7-2020
East Midlands,2020-03-13,10.142857142857142,22,12-7-2020
East Midlands,2020-03-14,12.142857142857142,16,12-7-2020
East Midlands,2020-03-15,15.714285714285714,25,12-7-2020
East Midlands,2020-03-16,19.714285714285715,34,12-7-2020
East Midlands,2020-03-17,22.714285714285715,32,12-7-2020
East Midlands,2020-03-18,27.0,48,12-7-2020
East Midlands,2020-03-19,34.714285714285715,66,12-7-2020
East Midlands,2020-03-20,39.142857142857146,53,12-7-2020
East Midlands,2020-03-21,46.714285714285715,69,12-7-2020
East Midlands,2020-03-22,57.285714285714285,99,12-7-2020
East Midlands,2020-03-23,69.0,116,12-7-2020
East Midlands,2020-03-24,83.71428571428571,135,12-7-2020
East Midlands,2020-03-25,93.42857142857143,116,12-7-2020
East Midlands,2020-03-26,106.28571428571429,156,12-7-2020
East Midlands,2020-03-27,118.28571428571429,137,12-7-2020
East Midlands,2020-03-28,130.71428571428572,156,12-7-2020
East Midlands,2020-03-29,134.85714285714286,128,12-7-2020
East Midlands,2020-03-30,147.71428571428572,206,12-7-2020
East Midlands,2020-03-31,167.85714285714286,276,12-7-2020
East Midlands,2020-04-01,194.14285714285714,300,12-7-2020
