AreaSorted column (descending) - Apply ascending sort.,CasesUnsorted column - Apply ascending sort.,"Rate per 100,000 populationUnsorted column - Apply ascending sort."
York,"5,753","2,731.50"
Wrexham,"4,106","3,020.10"
Worcestershire,"11,437","1,919.60"
Wolverhampton,"8,649","3,284.10"
Wokingham,"2,324","1,358.10"
Wirral,"10,155","3,134.20"
Windsor and Maidenhead,"2,538","1,676.10"
Wiltshire,"5,387","1,077.30"
Wigan,"17,061","5,191"
Westminster,"4,240","1,622.60"
West Sussex,"9,583","1,109.20"
West Lothian,"3,638","1,986.90"
West Dunbartonshire,"2,119","2,382.80"
West Berkshire,"1,745","1,101.30"
Warwickshire,"12,889","2,230.20"
Warrington,"8,415","4,006.90"
Wandsworth,"5,709","1,731.70"
Waltham Forest,"6,056","2,186.40"
Walsall,"9,867","3,456.30"
Wakefield,"14,089","4,044.90"
Vale of Glamorgan,"2,522","1,887.90"
Trafford,"8,882","3,742.10"
Tower Hamlets,"7,376","2,271.30"
Torfaen,"2,446","2,603.20"
Torbay,"1,976","1,450.10"
Thurrock,"3,416","1,959.40"
Telford and Wrekin,"4,359","2,423.60"
Tameside,"10,663","4,707.90"
Swindon,"4,150","1,867.70"
Swansea,"8,352","3,381.50"
Sutton,"3,597","1,743.20"
Surrey,"19,315","1,614.60"
Sunderland,"11,438","4,118.80"
Suffolk,"7,790","1,023.20"
Stoke-on-Trent,"10,075","3,929.80"
Stockton-on-Tees,"7,851","3,978.30"
Stockport,"10,815","3,685.80"
Stirling,"1,405","1,491.30"
Staffordshire,"26,906","3,059"
St. Helens,"7,843","4,343.10"
Southwark,"5,217","1,636.30"
Southend-on-Sea,"2,820","1,539.90"
Southampton,"4,074","1,613.30"
South Tyneside,"6,032","3,995.30"
South Lanarkshire,"10,022","3,126.70"
South Gloucestershire,"6,506","2,282.10"
South Ayrshire,"1,962","1,742.30"
Somerset,"5,812","1,033.70"
Solihull,"6,190","2,860.80"
Slough,"4,183","2,797.30"
Shropshire,"5,930","1,835.10"
Shetland Islands,76,331.6
Sheffield,"26,121","4,466.30"
Sefton,"10,695","3,869.30"
Scottish Borders,"1,023",885.6
Sandwell,"12,929","3,936.40"
Salford,"13,673","5,282.50"
Rutland,506,"1,267.30"
Rotherham,"11,398","4,294.50"
Rochdale,"13,072","5,877.40"
Richmond upon Thames,"3,064","1,547.30"
Rhondda Cynon Taf,"11,080","4,592.50"
Renfrewshire,"4,882","2,725.90"
Redcar and Cleveland,"4,706","3,431.30"
Redbridge,"8,313","2,723.60"
Reading,"2,936","1,814.80"
Powys,"1,568","1,184"
Portsmouth,"4,645","2,161.40"
Plymouth,"4,120","1,571.90"
Peterborough,"4,780","2,363.30"
Perth and Kinross,"1,665","1,095.80"
Pembrokeshire,"1,164",925.1
Oxfordshire,"10,810","1,562.90"
Orkney Islands,38,170.6
Oldham,"15,121","6,377.20"
Nottinghamshire,"24,156","2,916.60"
Nottingham,"17,385","5,222.30"
Northumberland,"8,916","2,765.20"
Northamptonshire,"15,281","2,028.60"
North Yorkshire,"13,859","2,242.40"
North Tyneside,"7,056","3,393.70"
North Somerset,"4,316","2,007"
North Lincolnshire,"5,021","2,914.20"
