code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E06000001,-0.07916797,-0.4099568,-0.27846056,-0.50778526,-0.50170153,-0.40289956,-0.37781253,-0.40595746,-0.37653482,-0.20001987,-0.38814536,-0.51181835,-0.53016454,-0.24404763,-0.40924188,-0.32526472,-0.7616284,0.0087229125
E06000002,0.45693237,-0.4099568,0.0065873708,-0.6370955,-0.3973793,-0.4122938,-0.413776,-0.36567557,-0.1819345,-0.20176421,-0.25688207,-0.70830995,-0.53193694,-0.19982202,-0.26736018,-0.29599103,-0.75591475,0.028237216
E06000003,0.68057483,-0.4099568,-0.018820781,-0.5120534,-0.5895319,-0.4046779,-0.38022837,-0.48233044,-0.4839042,-0.20026273,-0.4587886,-0.5131882,-0.534066,-0.22925626,-0.46287942,-0.3247147,-0.765125,0.025042498
E06000004,0.4492385,-0.4099568,0.39203918,-0.5063746,-0.466716,-0.40306237,-0.37886027,-0.39268407,-0.25438115,-0.20048419,-0.38223687,-0.56592625,-0.5533368,-0.24993822,-0.4267115,-0.29945424,-0.76162285,0.026193943
E06000005,0.072939426,-0.4099568,-0.20689926,-0.51417994,-0.53488857,-0.40367693,-0.3730316,-0.42039818,-0.4388668,-0.20000255,-0.4653335,-0.6690047,-0.5264365,-0.23880804,-0.4371156,-0.3224478,-0.7543549,0.019565
E06000006,0.25011712,-0.4099568,-0.072955206,-0.55446464,-0.45602217,-0.40290937,-0.3757756,-0.41038886,-0.12834972,-0.20200962,-0.3524564,-0.42337516,-0.5599107,-0.25590056,-0.41909525,-0.31161323,-0.7740145,0.025042498
E06000007,0.5372126,-0.4099568,0.4746113,-0.51761556,-0.52530205,-0.40301707,-0.37663943,-0.39582694,-0.23598322,-0.20214495,-0.39894062,-0.5632055,-0.57982713,-0.24638432,-0.45619693,-0.3139945,-0.75575954,0.028237216
E06000008,1.2744834,-0.4099568,0.063003816,-0.51307625,-0.39987835,-0.40513918,-0.39052224,-0.3548329,-0.01525524,-0.20169029,0.031116096,-0.7679845,-0.5230082,-0.0257106,0.2845443,-0.18494512,-0.7551809,0.022478545
E06000009,0.22818832,-0.4099568,-0.0016687129,-0.73796797,-0.550838,-0.4035044,-0.37352574,-0.4286876,-0.40956107,-0.20420465,-0.3890625,-0.7267438,-0.51163256,-0.24007462,-0.40489468,-0.28834745,-0.79079396,0.021065347
E06000010,1.212269,-0.4099568,0.7997111,-0.7171506,-0.4654312,-0.43476862,-0.40797934,-0.35594556,-0.081713974,-0.20117068,-0.31191275,-0.69972676,-0.5303142,-0.25480133,-0.34924498,-0.32449138,-0.7542335,0.017977174
E06000011,1.5359898,-0.4099568,1.2349534,-0.7958317,-0.71620464,-0.41576788,-0.37398148,-0.59741557,-0.6814322,-0.20154497,-0.51873565,-0.74866486,-0.54043555,-0.21762633,-0.47035396,-0.3243538,-0.7662636,0.026193943
E06000012,0.2980281,-0.4099568,0.13700166,-0.50214916,-0.5010096,-0.40316692,-0.38160986,-0.41946128,-0.44706914,-0.20048997,-0.46395916,-0.6983452,-0.52975804,-0.25149664,-0.4159927,-0.32548723,-0.757686,-0.00025899347
E06000013,0.30419174,-0.4099568,0.22039497,-0.683103,-0.56220794,-0.40435055,-0.37407637,-0.4564071,-0.38366452,-0.20104317,-0.46841702,-0.6358,-0.539064,-0.25345358,-0.38927272,-0.3105009,-0.7611173,0.017977174
E06000014,0.28633818,-0.4099568,0.4769085,-0.50157154,-0.6437832,-0.43328065,-0.41291347,-0.37241215,-0.37871203,-0.201836,-0.46522838,-0.7660714,-0.5255012,-0.23650582,-0.3899032,-0.32509908,-0.8643985,0.021065347
E06000015,0.9093676,-0.4099568,0.7786388,-0.6905922,-0.39152336,-0.40998214,-0.39961043,-0.3560274,-0.278346,-0.20188805,-0.2700963,-0.7674097,-0.54112875,-0.23965077,-0.19180028,-0.2910589,-0.7558457,0.032692056
E06000016,1.9898357,-0.4099568,1.3109647,-0.7924615,-0.37290534,-0.48328224,-0.41584998,-0.36306584,0.022097852,-0.19875595,0.31042558,-0.76259804,-0.5437336,-0.043641955,0.3334904,-0.12170809,-0.7991833,0.031291537
E06000017,-2.3319283,-0.4099568,-0.38661754,-0.91037196,-0.6327783,-0.41049007,-0.37432227,-0.5309797,-0.68818676,-0.19688766,-0.4893705,-0.7655008,-0.5224413,-0.22142845,-0.48857704,-0.32435715,-1.1553146,-0.7267117
E06000018,1.9717818,-0.4099568,1.1919594,-0.7655826,-0.39827618,-0.56160116,-0.3991872,-0.37202626,0.02266262,-0.20027061,-0.1313559,-0.7712914,-0.49941793,-0.2254103,-0.098526016,-0.32300743,-0.96079904,0.030656887
E06000019,-0.61457866,-0.4099568,0.35752127,-0.9789729,-0.7052641,-0.40689668,-0.37743148,-0.5379264,-0.6543304,-0.20218065,-0.4914479,-0.7677847,-0.53693324,-0.25583872,-0.41370273,-0.321455,-0.75454193,0.016302213
E06000020,0.2668167,-0.4099568,0.26005477,-0.5068229,-0.41706994,-0.40333965,-0.37618166,-0.3787695,-0.097065434,-0.18105501,-0.34863776,-0.62192905,-0.5563871,-0.18661368,-0.340588,-0.24218827,-0.75421363,0.021065347
E06000021,1.3650606,-0.4099568,0.770455,-0.6489706,-0.43033302,-0.40896356,-0.40218142,-0.3751591,-0.15123121,-0.20003015,-0.35734397,-0.6289392,-0.5255287,-0.25544408,-0.32919306,-0.32430646,-0.7567769,0.026193943
E06000022,0.03823566,-0.4099568,0.35751492,-0.51238537,-0.55969995,-0.41615352,-0.41205528,-0.37964776,-0.42261186,-0.20175117,-0.39992025,-0.7671934,-0.5591256,-0.25349846,-0.42127842,-0.32015055,-0.83521557,0.017977174
E06000023,1.895713,-0.4099568,1.7560467,-0.7529939,-0.5275416,-0.57277256,-0.4119562,-0.36103857,-0.056916293,-0.19999382,-0.34100568,-0.76917547,-0.5228751,-0.25537777,-0.2481499,-0.32371452,-0.7678723,0.031291537
E06000024,0.23376492,-0.4099568,0.50356114,-0.51050603,-0.5936193,-0.40964225,-0.3728122,-0.4926726,-0.67229766,-0.20086838,-0.48968163,-0.77084315,-0.5451321,-0.24710242,-0.450919,-0.32539874,-0.7546539,0.017977174
E06000025,0.2033574,-0.4099568,0.9295257,-0.51085603,-0.5268782,-0.40370557,-0.3746895,-0.3826868,-0.35135114,-0.19548294,-0.4006738,-0.74187243,-0.6390476,-0.25366962,-0.44404185,-0.2852711,-0.7577121,0.029129025
E06000026,0.53310895,-0.4099568,0.81452054,-0.6899819,-0.5426107,-0.41462898,-0.40665263,-0.38118207,-0.3049993,-0.20086698,-0.4172746,-0.74166757,-0.52477616,-0.25590056,-0.3407753,-0.3230138,-0.7637525,0.025042498
E06000027,-0.8245364,-0.4099568,-0.025011798,-0.5998957,-0.7061819,-0.41203982,-0.38074026,-0.59176624,-0.8165676,-0.20097667,-0.50700486,-0.7710755,-0.5111868,-0.23576401,-0.41085237,-0.3022294,-0.7695581,0.012687721
E06000030,0.55289567,-0.4099568,0.5565497,-0.5065182,-0.441393,-0.40327546,-0.37747636,-0.3617135,-0.1437523,-0.20208691,-0.38088328,-0.6668026,-0.5655795,-0.25589374,-0.37663475,-0.30857608,-0.7852888,0.022478545
E06000031,0.5289697,-0.4099568,0.41779664,-0.50909775,-0.37442473,-0.4091481,-0.39455944,-0.35342634,-0.115826,-0.20093966,-0.24932867,-0.734528,-0.53952837,-0.21604364,-0.13303046,-0.25060526,-0.7591288,0.019565
E06000032,0.76196814,-0.4099568,0.5048152,-0.7989265,-0.4441438,-0.4244157,-0.4123987,-0.36451614,-0.05366208,-0.1789153,0.31722724,-0.7712929,-0.5322796,0.013470668,0.6788981,-0.033229746,-0.76079607,0.030656887
E06000033,-0.12022582,-0.4099557,0.29192063,-0.7612588,-0.502847,-0.40297866,-0.372489,-0.38631874,-0.43201682,-0.20010903,-0.35770097,-0.7486912,-0.5453592,-0.2522151,-0.3665197,-0.32323262,-0.755265,0.028236866
E06000034,-0.0866564,-0.4099557,0.22395542,-0.511366,-0.3755582,-0.40667167,-0.3747646,-0.3533166,0.008309859,-0.1878559,-0.11471631,-0.5799946,-0.67344636,-0.13282418,-0.34375328,-0.20378874,-0.8748411,0.028236866
E06000035,1.0485271,-0.4099568,0.9018235,-0.53833234,-0.40593785,-0.40624171,-0.38039204,-0.36322507,-0.087962426,-0.19837855,-0.23013262,-0.61592966,-0.57997966,-0.2178612,-0.3221548,-0.25653943,-0.7544604,0.030656887
E06000036,-0.7963126,-0.4099568,-0.11595639,-0.51489544,-0.4063044,-0.40372145,-0.3823733,-0.35469607,-0.067888565,-0.19894269,-0.29402792,-0.68445826,-0.6512018,-0.25582054,-0.42542872,-0.28216588,-0.78075427,0.019565
E06000037,-0.72760516,-0.4099568,0.1281642,-0.6562618,-0.44734883,-0.40775964,-0.39146936,-0.4061243,-0.26411492,-0.18981622,-0.3922748,-0.716651,-0.62162834,-0.25470993,-0.418311,-0.27345487,-0.76136976,0.026193943
E06000038,0.02602189,-0.4099568,0.16012247,-0.744488,-0.4003962,-0.46373403,-0.40611807,-0.36518514,-0.024647145,-0.20216422,-0.21762249,-0.7549632,-0.5304638,-0.23082116,-0.1759138,-0.2832975,-0.80530006,0.02725967
E06000039,0.3180472,-0.4099568,0.06415383,-0.7719505,-0.62899834,-0.41731727,-0.386253,-0.3839435,0.12080599,-0.18632384,0.59113675,-0.77129513,-0.55223376,0.20924215,0.64717543,-0.0020836974,-0.86671877,0.03184362
E06000040,-0.4684054,-0.4099568,0.07630299,-0.5015744,-0.43357933,-0.40561062,-0.38720945,-0.37498236,-0.43238476,-0.20034838,-0.28693348,-0.7563896,-0.5963509,-0.23906334,-0.35701492,-0.27462086,-0.7829981,0.028237216
E06000041,-0.51583725,-0.4099568,0.19281946,-0.50536114,-0.39748284,-0.406241,-0.39145878,-0.37317258,-0.29159787,-0.14506042,-0.31810594,-0.733953,-0.7400501,-0.22943608,-0.4108845,-0.20532992,-0.75797695,0.02725967
E06000042,0.2764346,-0.4099568,0.84744817,-0.50298935,-0.3737355,-0.40511656,-0.37344638,-0.35381034,0.028956918,-0.18552949,-0.23095736,-0.6322626,-0.5940364,-0.18929873,-0.28487042,-0.2164516,-0.7630602,0.031291537
E06000043,0.24503072,-0.4099568,0.9736945,-0.7051031,-0.6958296,-0.5069125,-0.3836465,-0.35870773,-0.08853814,-0.20262867,-0.3806794,-0.7621384,-0.5201512,-0.25446424,-0.39161637,-0.31154084,-0.78315616,0.028237216
E06000044,0.42855683,-0.4099568,0.5115675,-0.8208728,-0.4801629,-0.47162756,-0.41659126,-0.35398865,-0.09531997,-0.20085305,-0.25528264,-0.7242532,-0.5316609,-0.20169991,-0.3305884,-0.31261918,-0.78006613,0.026193943
E06000045,0.4594517,-0.4099568,0.7518337,-0.80324036,-0.4887914,-0.5375197,-0.41291946,-0.35688955,-0.047941353,-0.20011853,-0.21616487,-0.7702581,-0.5226514,-0.23138633,-0.22817479,-0.31734598,-0.84578884,0.029935114
E06000046,-1.3913683,-0.4099568,0.013215442,-0.55524534,-0.79536855,-0.41445062,-0.37871033,-0.66607577,-0.80872184,-0.19999543,-0.5125845,-0.77010435,-0.51121646,-0.2294291,-0.41183,-0.31113,-0.81857586,-0.016348539
E06000049,1.3599417,-0.4099568,1.4287254,-0.5765868,-0.61091554,-0.4100615,-0.37915486,-0.47681993,-0.58265465,-0.20177355,-0.45958522,-0.6637653,-0.55974126,-0.23218882,-0.45979875,-0.32393906,-0.7543885,0.029935114
E06000050,1.242364,-0.4099568,1.2393651,-0.5557033,-0.5977447,-0.40441924,-0.37261683,-0.4509201,-0.4645126,-0.2018907,-0.4501163,-0.67473894,-0.5526321,-0.24977341,-0.4299827,-0.3213768,-0.75942934,0.029935114
E06000051,0.42859718,-0.4099568,1.136235,-0.9252083,-0.70302624,-0.40924484,-0.37249643,-0.53665847,-0.6277194,-0.20218138,-0.48289096,-0.76809627,-0.53705037,-0.25512677,-0.43393126,-0.32273588,-0.78650695,0.029935114
E06000054,0.07824725,-0.4099568,1.8718238,-0.76877123,-0.5271087,-0.40723634,-0.37349275,-0.44225737,-0.48071915,-0.19704336,-0.4648326,-0.7573935,-0.5594739,-0.25589746,-0.44013137,-0.30602428,-0.7980956,0.029935114
E06000055,0.09120614,-0.4099568,0.21777959,-0.5601874,-0.40676686,-0.40300936,-0.37296984,-0.3722489,-0.31616455,-0.20132618,-0.2687512,-0.7021691,-0.5486251,-0.22939056,-0.2756258,-0.27377394,-0.7619387,0.028237216
E06000056,0.47832772,-0.4099568,0.9350528,-0.5464918,-0.48907995,-0.40289664,-0.37413672,-0.3861012,-0.21413353,-0.19218975,-0.39243388,-0.5790947,-0.62067443,-0.2548645,-0.43791613,-0.27790827,-0.76194996,0.029935114
E06000057,1.0325625,-0.4099568,1.136235,-1.1259112,-0.73558676,-0.40979916,-0.37249818,-0.57241863,-0.5547208,-0.20130543,-0.5121016,-0.7271294,-0.531116,-0.22187464,-0.4739861,-0.32501426,-0.7544397,0.028237216
E06000058,0.81225705,-0.4099568,1.4939768,-0.6252979,-0.64213693,-0.40338224,-0.3870108,-0.4144538,-0.67154926,-0.2002321,-0.46156457,-0.7707676,-0.5236351,-0.2505698,-0.39418614,-0.3206257,-0.7589745,0.02725967
E06000059,0.14749236,-0.4099568,1.4094752,-0.772852,-0.7638818,-0.4182939,-0.37866762,-0.66760767,-0.9401599,-0.20202233,-0.5301467,-0.76023376,-0.5239012,-0.23628041,-0.44651252,-0.3244596,-0.7841808,0.02725967
E06000060,0.5513528,-0.4099568,1.9973073,-0.56720287,-0.4258973,-0.40543494,-0.3764666,-0.38501617,-0.394247,-0.1863083,-0.32046592,-0.76839256,-0.6144804,-0.2072126,-0.31431392,-0.23524038,-0.75571537,0.03334154
E07000026,-0.7212879,-0.4099568,-0.2565473,-1.0297134,-0.71054095,-0.40974438,-0.37268427,-0.54350024,-0.61634964,-0.20048241,-0.49003017,-0.7508418,-0.5405521,-0.2408379,-0.4682939,-0.32464465,-0.7542201,0.019565
E07000027,-0.57715875,-0.4099568,-0.37950057,-0.50276536,-0.62311536,-0.40418792,-0.37252164,-0.46762833,-0.3657982,-0.20136468,-0.44498393,-0.65145576,-0.5323162,-0.21247745,-0.457478,-0.31264937,-0.76140916,0.031291537
E07000028,-0.22541526,-0.4099568,-0.19640985,-0.90883166,-0.6314254,-0.4042096,-0.37267926,-0.45691293,-0.5004117,-0.20074344,-0.46882448,-0.7471177,-0.53620386,-0.22040585,-0.45764205,-0.3141793,-0.7555156,0.028237216
E07000029,-0.79058146,-0.4099568,-0.37619057,-0.9538947,-0.70523417,-0.4063958,-0.37389818,-0.5083151,-0.46255013,-0.20117706,-0.46991694,-0.7275411,-0.5375314,-0.25371492,-0.45797786,-0.32535592,-0.75754845,0.021065347
E07000030,-1.6704417,-0.4099568,-0.40013197,-1.6399846,-0.8375882,-0.41651654,-0.37780562,-0.6396976,-0.7398294,-0.20110877,-0.518312,-0.76597804,-0.5374029,-0.24066015,-0.468537,-0.32441682,-0.7582362,-0.050039917
E07000031,-0.63796514,-0.4099568,-0.21843502,-1.0950649,-0.85562944,-0.41834253,-0.37313035,-0.6661413,-0.88725424,-0.20002022,-0.53171617,-0.74881375,-0.52026063,-0.19313118,-0.48549208,-0.2964382,-0.7972865,0.032692056
