,variable,variable2,correlation,correlation_label
0,Total Population,Total Population,1.0,1.00
1,Total Population,Population Density,0.46141294006544364,0.46
2,Total Population,Ages 0-19,0.35334042339903005,0.35
3,Total Population,Ages 20-39,0.49912263573917304,0.50
4,Total Population,Ages 40-59,-0.4045443143442273,-0.40
5,Total Population,Ages 60-79,-0.4917072859420417,-0.49
6,Total Population,Ages 80+,-0.4179093023437874,-0.42
7,Total Population,1 Person Household,0.05798908221520339,0.06
8,Total Population,2 People Household,-0.46803277163800944,-0.47
9,Total Population,3 People Household,-0.08246950767001182,-0.08
10,Total Population,4 People Household,-0.18893557988863244,-0.19
11,Total Population,5 People Household,0.26907349174703693,0.27
12,Total Population,6+ People Household,0.4235216014413018,0.42
13,Total Population,Mean Household Size,0.21359790479274846,0.21
14,Total Population,Communal Residents,0.029009695353645556,0.03
15,Total Population,Days Since 100+ cases,0.5076525363397957,0.51
16,Total Population,Total cases,0.8075985305650417,0.81
17,Population Density,Total Population,0.46141294006544364,0.46
18,Population Density,Population Density,1.0,1.00
19,Population Density,Ages 0-19,0.5527245784283822,0.55
20,Population Density,Ages 20-39,0.7674789895491863,0.77
21,Population Density,Ages 40-59,-0.4422175324506555,-0.44
22,Population Density,Ages 60-79,-0.8182462058006641,-0.82
23,Population Density,Ages 80+,-0.7031814084068982,-0.70
24,Population Density,1 Person Household,0.2148190829184286,0.21
25,Population Density,2 People Household,-0.7042852177682534,-0.70
26,Population Density,3 People Household,0.18447211533633187,0.18
27,Population Density,4 People Household,-0.06899926596316118,-0.07
28,Population Density,5 People Household,0.477196294234839,0.48
29,Population Density,6+ People Household,0.5596983899467373,0.56
30,Population Density,Mean Household Size,0.29690151787549257,0.30
31,Population Density,Communal Residents,-0.20580862519777007,-0.21
32,Population Density,Days Since 100+ cases,0.4518423564554989,0.45
33,Population Density,Total cases,0.5190873585865475,0.52
34,Ages 0-19,Total Population,0.35334042339903005,0.35
35,Ages 0-19,Population Density,0.5527245784283822,0.55
36,Ages 0-19,Ages 0-19,1.0,1.00
37,Ages 0-19,Ages 20-39,0.4328961226791155,0.43
38,Ages 0-19,Ages 40-59,-0.17938913559940572,-0.18
