geo_type,code,name,all_death,all_rate,covid_death,covid_rate
Unitary Authority,E06000002,Middlesbrough,289,256,89,79
Unitary Authority,E06000003,Redcar and Cleveland,215,142.6,40,26.5
Unitary Authority,E06000004,Stockton-on-Tees,297,167,38,21
Unitary Authority,E06000005,Darlington,169,151.5,26,22.9
Unitary Authority,E06000006,Halton,199,178.4,52,46.6
Unitary Authority,E06000007,Warrington,347,182.9,73,39.2
Unitary Authority,E06000008,Blackburn with Darwen,207,195.5,30,29.3
Unitary Authority,E06000009,Blackpool,276,191.2,33,22.7
Unitary Authority,E06000010,"Kingston upon Hull, City of",340,175.1,32,16.7
Unitary Authority,E06000011,East Riding of Yorkshire,586,138.2,60,13.9
Unitary Authority,E06000012,North East Lincolnshire,219,130.7,17,9.8
Unitary Authority,E06000013,North Lincolnshire,243,136.2,12,6.6
Unitary Authority,E06000014,York,286,139.7,43,21.1
Unitary Authority,E06000015,Derby,424,185.5,143,63
Unitary Authority,E06000016,Leicester,420,185.4,88,38.6
Unitary Authority,E06000017,Rutland,59,120.7,3,7.1
Unitary Authority,E06000018,Nottingham,350,168.8,76,36.8
Unitary Authority,E06000019,"Herefordshire, County of",293,125.3,27,11.1
Unitary Authority,E06000020,Telford and Wrekin,258,179.4,35,22.8
Unitary Authority,E06000021,Stoke-on-Trent,372,177,45,21.2
Unitary Authority,E06000022,Bath and North East Somerset,272,138.5,43,21.6
Unitary Authority,E06000023,"Bristol, City of",502,152.4,92,28.2
Unitary Authority,E06000024,North Somerset,292,110.6,26,10
Unitary Authority,E06000025,South Gloucestershire,360,129.8,68,24.1
Unitary Authority,E06000026,Plymouth,343,139.1,25,10.2
Unitary Authority,E06000027,Torbay,256,138.1,23,12.2
Unitary Authority,E06000030,Swindon,322,176.3,64,35.3
Unitary Authority,E06000031,Peterborough,206,133.5,22,14.4
Unitary Authority,E06000032,Luton,303,205.8,105,71.7
Unitary Authority,E06000033,Southend-on-Sea,329,171.6,80,42.9
Unitary Authority,E06000034,Thurrock,234,200.1,54,45.7
Unitary Authority,E06000035,Medway,331,152.9,80,37.1
Unitary Authority,E06000036,Bracknell Forest,117,128.8,26,29
Unitary Authority,E06000037,West Berkshire,212,141.2,55,37.1
Unitary Authority,E06000038,Reading,219,197.2,57,51.5
Unitary Authority,E06000039,Slough,187,226,58,69.9
Unitary Authority,E06000040,Windsor and Maidenhead,264,164.1,61,38.8
Unitary Authority,E06000041,Wokingham,200,128.6,50,32
Unitary Authority,E06000042,Milton Keynes,356,196.1,97,53.8
Unitary Authority,E06000043,Brighton and Hove,329,149.9,59,27.1
Unitary Authority,E06000044,Portsmouth,273,167.5,48,29.6
Unitary Authority,E06000045,Southampton,287,157.4,61,33.1
Unitary Authority,E06000046,Isle of Wight,197,99.9,17,8.6
Unitary Authority,E06000047,County Durham,961,186.1,226,43.1
Unitary Authority,E06000049,Cheshire East,717,159.5,158,35.3
Unitary Authority,E06000050,Cheshire West and Chester,572,154.1,116,31
Unitary Authority,E06000051,Shropshire,523,134.2,58,14.9
Unitary Authority,E06000052,Cornwall,858,125.4,94,13.9
Unitary Authority,E06000053,Isles of Scilly,2,:,0,0
Unitary Authority,E06000054,Wiltshire,762,138.8,120,21.7
Unitary Authority,E06000055,Bedford,231,142.4,51,31.8
Unitary Authority,E06000056,Central Bedfordshire,414,164.8,87,33.7
Unitary Authority,E06000057,Northumberland,535,142.5,87,22.9
Unitary Authority,E06000058,"Bournemouth, Christchurch and Poole",598,125.5,60,12.6
Unitary Authority,E06000059,Dorset,682,122.7,61,10.8
Non-Metropolitan District,E07000004,Aylesbury Vale,242,142.9,45,26.5
Non-Metropolitan District,E07000005,Chiltern,170,147.5,52,44.1
Non-Metropolitan District,E07000006,South Bucks,131,151,25,29.6
Non-Metropolitan District,E07000007,Wycombe,234,137.2,50,29.6
Non-Metropolitan District,E07000008,Cambridge,122,124.7,21,21.8
Non-Metropolitan District,E07000009,East Cambridgeshire,139,152.8,23,25.4
Non-Metropolitan District,E07000010,Fenland,165,140.3,21,18.2
Non-Metropolitan District,E07000011,Huntingdonshire,221,127.9,24,13.8
Non-Metropolitan District,E07000012,South Cambridgeshire,165,103.1,22,14.2
Non-Metropolitan District,E07000026,Allerdale,185,155.4,34,28.4
Non-Metropolitan District,E07000027,Barrow-in-Furness,138,196.2,41,58
Non-Metropolitan District,E07000028,Carlisle,199,166.5,41,33.9
Non-Metropolitan District,E07000029,Copeland,131,176.3,30,39.9
Non-Metropolitan District,E07000030,Eden,80,110.5,17,22.7
Non-Metropolitan District,E07000031,South Lakeland,302,199.2,82,54
Non-Metropolitan District,E07000032,Amber Valley,211,153.4,39,27.7
Non-Metropolitan District,E07000033,Bolsover,107,138.7,14,17.9
Non-Metropolitan District,E07000034,Chesterfield,176,159.2,26,23.3
Non-Metropolitan District,E07000035,Derbyshire Dales,127,131.6,25,25.8
Non-Metropolitan District,E07000036,Erewash,182,149.6,36,29.9
Non-Metropolitan District,E07000037,High Peak,153,165.7,36,38.8
Non-Metropolitan District,E07000038,North East Derbyshire,192,160.7,50,42.3
Non-Metropolitan District,E07000039,South Derbyshire,149,163.9,37,39.4
Non-Metropolitan District,E07000040,East Devon,255,108,11,4.8
Non-Metropolitan District,E07000041,Exeter,159,134.6,26,22.3
Non-Metropolitan District,E07000042,Mid Devon,100,104.6,6,5.9
Non-Metropolitan District,E07000043,North Devon,166,132.6,11,8.6
Non-Metropolitan District,E07000044,South Hams,135,114.1,5,4
Non-Metropolitan District,E07000045,Teignbridge,208,114.3,15,8.5
Non-Metropolitan District,E07000046,Torridge,96,108.6,8,9.2
Non-Metropolitan District,E07000047,West Devon,87,112.8,6,7.3
Non-Metropolitan District,E07000061,Eastbourne,177,115.5,26,15.5
Non-Metropolitan District,E07000062,Hastings,129,134.4,6,6.4
Non-Metropolitan District,E07000063,Lewes,186,126.8,35,23.9
Non-Metropolitan District,E07000064,Rother,163,100.8,13,8.1
Non-Metropolitan District,E07000065,Wealden,234,106.6,34,15.6
Non-Metropolitan District,E07000066,Basildon,285,172.7,76,45.6
Non-Metropolitan District,E07000067,Braintree,227,146.4,34,21.8
Non-Metropolitan District,E07000068,Brentwood,151,168.4,39,43.6
Non-Metropolitan District,E07000069,Castle Point,173,164,33,29.4
Non-Metropolitan District,E07000070,Chelmsford,259,146.6,56,32
Non-Metropolitan District,E07000071,Colchester,189,113.3,35,20.7
Non-Metropolitan District,E07000072,Epping Forest,264,185.4,86,62.1
Non-Metropolitan District,E07000073,Harlow,160,219.6,40,55.1
Non-Metropolitan District,E07000074,Maldon,107,141.1,14,18.3
Non-Metropolitan District,E07000075,Rochford,140,138.8,34,33.2
Non-Metropolitan District,E07000076,Tendring,330,152,51,23.1
Non-Metropolitan District,E07000077,Uttlesford,127,137.4,22,23.8
