code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E06000001,-0.32290557,-0.14133413,-0.22433692,-0.15292248,-0.112628356,-0.02175199,-0.04022719,-0.20449738,-0.09890265,-0.22533351,-0.13064411,-0.06820632,-0.08934838,-0.37747237,-0.11826063,-0.12261911,-0.12328767,-0.22656767,0.19352257
E06000002,0.58712626,-0.14133413,-0.057214573,-0.13720787,-0.040958837,0.05798085,0.06061904,-0.192149,-0.16289115,-0.20177986,-0.09851423,0.03713596,-0.08760467,-0.18584937,-0.06794845,-0.028831214,-0.21851087,-0.11248931,0.27013224
E06000003,0.14594285,-0.14133413,-0.06921506,-0.17310886,-0.13628696,-0.061689667,-0.028615061,-0.21347558,-0.071477465,-0.2102857,-0.1552699,-0.06770725,-0.08543494,-0.40833697,-0.1377603,-0.13043599,-0.1184099,-0.13850564,0.22186491
E06000004,0.65093285,-0.14133413,0.09478317,-0.15377012,-0.09628415,-0.005982183,-0.034911178,-0.2015706,-0.13647377,-0.2098454,-0.12892516,-0.046945237,-0.06595522,-0.27297622,-0.12455972,-0.033122532,-0.25776693,-0.12981334,0.3416578
E06000005,-0.12598169,-0.14133413,-0.17306149,-0.17446972,-0.12416045,-0.04617475,-0.07902801,-0.2070411,-0.08243601,-0.2188571,-0.15812936,0.0072258106,-0.09265193,-0.38988307,-0.12833229,-0.14763777,-0.1701432,-0.17347968,0.16179372
E06000006,0.27884364,-0.14133413,-0.09608006,-0.14238788,-0.09022197,-0.022740448,-0.052376524,-0.20533986,-0.18489702,-0.20185642,-0.12077056,-0.096957296,-0.05990413,-0.31586948,-0.121808104,-0.052265152,-0.11862092,-0.13850564,0.22759034
E06000007,0.88044274,-0.14133413,0.12257475,-0.14900273,-0.12117969,-0.029198702,-0.14948887,-0.20232661,-0.1428541,-0.20369387,-0.133885,-0.048099555,-0.04361081,-0.3710543,-0.13530193,-0.057202958,-0.21684755,-0.11248931,0.35946637
E06000008,0.57014376,-0.14133413,-0.031747438,-0.15052621,0.097713575,0.022485562,0.0068782205,-0.18329774,-0.24002029,-0.2062589,-0.046766393,0.18262838,-0.09478724,-0.05744022,0.13042018,0.03592614,-0.15611592,-0.15595181,0.40473834
E06000009,0.5536485,-0.14133413,-0.061076865,-0.1357685,-0.12853262,-0.04272791,-0.07203104,-0.20827274,-0.08997786,-0.36889842,-0.13091497,0.055013023,-0.086201675,-0.38708016,-0.11670031,-0.24686345,-0.349453,-0.16470581,0.25242668
E06000010,0.8041576,-0.14133413,0.22299796,-0.13584413,-0.09558573,0.10487892,0.048507467,-0.18485951,-0.2060617,-0.2604636,-0.11074033,0.029832387,-0.08920341,-0.33466476,-0.09687247,-0.13275081,-0.17432053,-0.18227492,0.4277826
E06000011,1.0178591,-0.14133413,0.3446805,-0.2635829,-0.13629706,-0.16039072,-0.12858894,-0.2146857,-0.030571584,-0.20680967,-0.19130243,0.082873516,-0.07880992,-0.42675102,-0.14052378,-0.09469032,-0.27866474,-0.12981334,0.41144034
E06000012,0.15040739,-0.14133413,-0.0004202117,-0.15811062,-0.11234899,-0.034459725,-0.02281879,-0.2068934,-0.08038574,-0.20741226,-0.15751743,0.028704733,-0.0897369,-0.35340124,-0.12069013,-0.11435685,-0.13691984,-0.2623922,0.25230193
E06000013,0.2474356,-0.14133413,0.032595195,-0.23318113,-0.13121998,-0.057156682,-0.06604149,-0.21147335,-0.09693625,-0.20839204,-0.15953006,-0.012972925,-0.08023524,-0.34385857,-0.1111075,-0.050138623,-0.12445076,-0.18227492,0.2376587
E06000014,-0.2133893,-0.14133413,0.12333169,-0.16060686,-0.14084253,0.10275328,0.058804214,-0.19523518,-0.098299205,-0.20174885,-0.15808336,0.11980964,-0.093351,-0.3947232,-0.111333616,-0.10246534,-0.45984113,-0.16470581,0.26677585
E06000015,1.1034411,-0.14133413,0.216821,-0.13608073,-0.032966748,0.049417965,0.030096693,-0.18496004,-0.12847033,-0.20175108,-0.10133194,0.124573655,-0.07809101,-0.2452525,-0.041266195,-0.023293465,-0.2177913,-0.0524757,0.35102412
E06000016,1.3941747,-0.14133413,0.36525828,-0.13591681,0.02878977,0.14908656,0.08204301,-0.16403973,-0.26135728,-0.21339245,-0.0025346978,0.19993952,-0.07541489,-0.06745213,0.14834657,0.05360114,-0.3669841,-0.07807838,0.59319735
E06000017,-2.1897345,-0.14133413,-0.41408658,-0.29302633,-0.14048997,-0.11887824,-0.06371135,-0.21531603,-0.029330162,-0.21640158,-0.1701988,0.19164401,-0.095000744,-0.42108658,-0.1473249,-0.09472898,-0.5276863,-1.4420091,-0.17441383
E06000018,1.1615331,-0.14133413,0.3329956,-0.13578846,-0.042085715,0.18091245,0.07663021,-0.15827659,-0.26169395,-0.23661384,-0.07426255,0.15361267,-0.06297145,-0.21948762,-0.008153578,-0.085989855,-0.5292845,-0.086651586,0.572601
E06000019,-0.254788,-0.14133413,0.08279828,-0.31036103,-0.13772377,-0.08674009,-0.042289697,-0.21540648,-0.03563253,-0.20284638,-0.17139448,0.1260522,-0.0824574,-0.32045746,-0.11986556,-0.07881042,-0.19918886,-0.19109157,0.09528059
