code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E06000001,0.23405786,-0.16402735,-0.075019054,-0.07263984,-0.22945361,-0.20455118,0.09113101,-0.10464599,-0.19127613,-0.12354869,-0.20129837,-0.8437824,-0.20556018,-0.12979923,-0.14564751,-0.3712039,-0.13206737,-0.15465184,-0.5903636
E06000002,0.52254057,-0.16402735,0.13970625,-0.19014537,-0.12726924,-0.17622624,0.39264375,-0.16147555,-0.23570226,-0.12969346,-0.24815714,-0.4404535,-0.1992798,-0.17537455,-0.13610683,-0.22572348,0.21267034,-0.12279267,-0.28418118
E06000003,0.51366955,-0.16402735,0.12854978,-0.029109968,-0.3062201,-0.22515574,0.11684261,-0.100797944,-0.19454609,-0.13128981,-0.17600144,-0.84139824,-0.19299202,-0.13779294,-0.15747586,-0.38004056,-0.19818838,-0.13875514,-0.47368965
E06000004,0.8214805,-0.16402735,0.22795592,-0.069847606,-0.19822934,-0.19721718,0.10259608,-0.115045026,-0.20922437,-0.11143814,-0.20342714,-0.74654573,-0.16846326,-0.13015568,-0.14888145,-0.23414487,0.28566626,-0.13402489,-0.0310035
E06000005,0.26121837,-0.16402735,0.0047934772,-0.027293948,-0.25856492,-0.21689612,0.022536522,-0.09803306,-0.19151135,-0.12729979,-0.17371245,-0.53640765,-0.22292592,-0.13265793,-0.15107985,-0.3980097,0.0916359,-0.15186417,-0.7245108
E06000006,-0.1805458,-0.16402735,0.10125783,-0.12522732,-0.1884227,-0.20502953,0.06683816,-0.10217471,-0.26548323,-0.12781389,-0.21413067,-0.9909465,-0.16654067,-0.12408846,-0.14740273,-0.26960826,-0.32003677,-0.13875514,-0.450554
E06000007,1.3895322,-0.16402735,0.23388939,-0.08752779,-0.2501778,-0.2082055,-0.03983315,-0.11211646,-0.21463801,-0.122317575,-0.19741048,-0.7515965,-0.16819632,-0.12852314,-0.1556821,-0.27818513,0.20918688,-0.12279267,0.026045492
E06000008,-1.319144,-0.16402735,0.16129774,-0.08130526,-0.03400229,-0.18580227,0.2110824,-0.21551338,-0.36700663,-0.11733626,-0.3495635,-0.13816194,-0.24587248,-0.35783675,-0.22925876,-0.10338486,0.044821333,-0.14646761,0.15939632
E06000009,0.27285865,-0.16402735,0.13618782,-0.26394987,-0.27250603,-0.21509731,0.033004675,-0.09589417,-0.19076216,-0.0115927085,-0.20096807,-0.38916743,-0.37944892,-0.13196819,-0.14492682,-0.46939877,0.40721074,-0.14945543,-0.35217357
E06000010,1.2655593,-0.16402735,0.23096575,-0.2486376,-0.19706169,-0.17581567,0.35002673,-0.20553334,-0.30014676,-0.09903403,-0.22862853,-0.46268433,-0.20498559,-0.12418959,-0.13836616,-0.38257253,0.10418863,-0.15370597,0.22068173
E06000011,1.739366,-0.16402735,0.18267569,-0.009454698,-0.4085647,-0.27715203,-0.029173156,-0.16312547,-0.22326456,-0.11638002,-0.15721117,-0.31766918,-0.18000534,-0.14385873,-0.15960182,-0.335908,0.3186024,-0.13402489,0.17768297
E06000012,0.22024721,-0.16402735,0.18402019,-0.057395823,-0.22884503,-0.21084934,0.13060857,-0.098343894,-0.19190282,-0.13212915,-0.1741884,-0.4661823,-0.20715697,-0.12577847,-0.14683147,-0.36139062,-0.038211193,-0.14615767,-0.35265812
E06000013,-0.26199788,-0.16402735,0.20348054,-0.0013561046,-0.2824299,-0.22271957,0.042614426,-0.09510643,-0.19103228,-0.113743104,-0.17264244,-0.60893786,-0.18222116,-0.12479091,-0.1426028,-0.2658436,-0.1212093,-0.15370597,-0.4102735
E06000014,0.7158721,-0.16402735,0.23401076,-0.051344115,-0.3525682,-0.17542915,0.3864421,-0.144594,-0.1911938,-0.12924027,-0.17374863,-0.23774265,-0.22840574,-0.13390598,-0.14268774,-0.3463491,0.48374394,-0.14945543,-0.29692382
E06000015,0.81820405,-0.16402735,0.23219414,-0.2292435,-0.119354084,-0.17795315,0.28543672,-0.20489678,-0.20336384,-0.12887183,-0.24348366,-0.2286131,-0.17898451,-0.13932678,-0.1398988,-0.21462011,0.21117029,-0.065120295,-0.00068318436
E06000016,0.9627708,-0.16402735,0.17074184,-0.30487734,-0.069629945,-0.19710438,0.37921664,-0.34234607,-0.4155377,-0.10612976,-0.45406318,-0.11852255,-0.1756569,-0.33680618,-0.2417325,-0.11871486,0.42436767,-0.09330264,0.53297216
E06000017,-1.5550991,-0.16402735,-0.411278,-0.02498729,-0.3433338,-0.25626507,0.046518438,-0.12201585,-0.22436324,-0.10185202,-0.16558248,-0.12751481,-0.25049675,-0.1419025,-0.16534775,-0.33596048,0.32742366,-1.5547874,-2.118237
E06000018,1.2737927,-0.16402735,0.18905325,-0.2845101,-0.12841986,-0.23962218,0.20800123,-0.3782477,-0.41633835,-0.11623703,-0.29227448,-0.1786129,-0.51569134,-0.15202631,-0.15025935,-0.32362795,0.47479302,-0.10154894,0.50557625
