code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases
E06000001,1.1338701,-1.7754705,-2.0765438,-1.874882,-1.0677687,-1.2392565,-3.052613,-1.4552101,-2.274286,-0.7220279,-2.1214032,0.47020522,-1.1904081,-1.2178165,-2.1715603,-1.5660219,-2.069768,-1.226373
E06000002,1.1410785,-1.7754705,-1.9182807,-2.2488315,-0.37471014,-1.5495387,-3.8851879,-1.6496489,-1.7520111,-0.7234573,-1.2483474,-0.94829935,-1.2405145,-1.1139805,-1.3955315,-0.945505,-2.3044295,-1.4267348
E06000003,0.89390296,-1.7754705,-1.9291359,-1.7447891,-1.7009699,-1.0727468,-3.1226768,-1.4445056,-2.4800858,-0.7348409,-2.8002279,0.46318322,-1.2967051,-1.2159488,-2.506494,-1.6028812,-2.0056973,-1.3780702
E06000004,0.33778796,-1.7754705,-1.7903872,-1.866101,-0.8243955,-1.3021663,-3.084377,-1.4889795,-1.9701422,-0.67120266,-2.0742834,0.17321591,-1.6782349,-1.1868986,-2.2777178,-0.98445266,-2.3205414,-1.3941417
E06000005,0.4250947,-1.7754705,-2.0266361,-1.7398671,-1.3046618,-1.1387643,-2.8315372,-1.4344198,-2.4008222,-0.7287594,-2.8794374,-0.5582482,-1.073224,-1.2176694,-2.3422482,-1.6788266,-2.2463734,-1.3153611
E06000006,1.344127,-1.7754705,-1.9537793,-2.0439422,-0.7517591,-1.2352622,-2.9816496,-1.4473513,-1.569579,-0.71749216,-1.8513552,0.8813551,-1.7766472,-1.2066185,-2.2311094,-1.1419408,-1.8790952,-1.3780702
E06000007,0.19797754,-1.7754705,-1.7690074,-1.9222841,-1.2357773,-1.2090329,-2.4455602,-1.4793704,-1.9175992,-0.7012281,-2.210372,0.18919717,-2.0221949,-1.2175771,-2.4632638,-1.1788049,-2.3032541,-1.4267348
E06000008,3.3162384,-1.7754705,-1.8955816,-1.902379,-0.35809028,-1.4128729,-3.3588266,-1.8540368,-1.1091974,-0.68722445,0.10944493,-2.7683685,-0.94911075,-0.903346,0.6934718,-0.08429064,-2.2157974,-1.3463933
E06000009,0.91017085,-1.7754705,-1.9217634,-2.46388,-1.4198617,-1.1531956,-2.8704052,-1.4279138,-2.3437293,-0.5119322,-2.1288147,-1.1774694,-0.50770074,-1.217774,-2.1455586,-2.016741,-2.2925012,-1.3307961
E06000010,1.2099565,-1.7754705,-1.695691,-2.4210947,-0.81562483,-1.7447752,-3.7295928,-1.8148686,-1.3936332,-0.67494494,-1.5785162,-0.85385644,-1.1947799,-1.2121462,-1.8260143,-1.6135042,-2.2538772,-1.3000954
E06000011,0.22788346,-1.7754705,-1.606647,-1.7125714,-2.5976496,-0.6097283,-2.5604084,-1.6360924,-2.690087,-0.684583,-3.7994993,-1.5297364,-1.4437984,-1.2124139,-2.5554018,-1.4201181,-2.3214393,-1.3941417
E06000012,0.20400605,-1.7754705,-1.8683311,-1.8274068,-1.0628822,-1.1874672,-3.1586854,-1.4353782,-2.4160304,-0.73537284,-2.8624594,-0.8392381,-1.1784564,-1.2158072,-2.2122648,-1.5252986,-2.1526067,-1.1706927
E06000013,0.14000914,-1.7754705,-1.8404547,-1.6886419,-1.5023121,-1.0922167,-2.9039414,-1.4263393,-2.2897286,-0.67739457,-2.9182386,-0.28952524,-1.4143794,-1.2141713,-2.0533998,-1.1256279,-2.0798829,-1.3000954
E06000014,0.03863728,-1.7754705,-1.7684335,-1.8090017,-2.093136,-1.735057,-3.8591728,-1.5895804,-2.2790298,-0.721982,-2.8781369,-1.9900771,-1.0410079,-1.217391,-2.0570846,-1.463179,-2.145768,-1.3307961
E06000015,0.096375085,-1.7754705,-1.7000878,-2.3655097,-0.3397316,-1.5163367,-3.545302,-1.812396,-2.0358396,-0.7208042,-1.3242056,-2.0490913,-1.4582756,-1.168693,-1.0338476,-0.892957,-2.3039274,-1.5451442
E06000016,1.9545807,-1.7754705,-1.5900862,-2.5734196,-0.23421045,-1.9912418,-4.5652637,-2.4224377,-0.928061,-0.6572175,1.192514,-2.9852204,-1.5104032,-0.9255454,0.8307161,0.27488226,-2.2781448,-1.493618
E06000017,-0.6944814,-1.7754705,-2.2808278,-1.7441785,-2.0141683,-0.81348854,-2.9170659,-1.5098063,-2.6925821,-0.64624554,-3.2141767,-2.8810394,-0.92705506,-1.2136964,-2.6771865,-1.4203376,-1.3753438,-0.9307251
E06000018,2.183588,-1.7754705,-1.6157421,-2.5197754,-0.38012806,-2.2957776,-4.907632,-2.616952,-0.9251877,-0.70821774,-0.6028099,-2.4082775,-0.25289446,-1.1477048,-0.6273213,-1.3693978,-1.920701,-1.4766939
E06000019,-0.88527465,-1.7754705,-1.7997904,-1.7637942,-2.5235538,-0.9623025,-3.0404167,-1.521444,-2.6765058,-0.7070817,-3.2473586,-2.0674,-1.3663657,-1.2081424,-2.198411,-1.3253425,-2.2877102,-1.2850002
E06000020,-0.025205765,-1.7754705,-1.8280963,-1.7610058,-0.49653035,-1.3296877,-2.9971216,-1.5486243,-1.4534868,-0.59815514,-1.824308,-0.18830751,-1.7252824,-1.0974878,-1.7783866,-0.47176483,-2.255551,-1.3307961
E06000021,1.4793973,-1.7754705,-1.7018024,-2.2754047,-0.58158475,-1.4995447,-3.5993674,-1.5704455,-1.6498744,-0.73074865,-1.8864523,-0.23877202,-1.041961,-1.2104053,-1.7165017,-1.417942,-2.1737921,-1.3941417
E06000022,-0.63508886,-1.7754705,-1.7997912,-1.7439753,-1.4841111,-1.5951601,-3.8346095,-1.543817,-2.3696818,-0.72369266,-2.218658,-2.8077836,-1.7654573,-1.1952624,-2.244414,-1.2940557,-2.2080038,-1.3000954
E06000023,0.8228339,-1.7754705,-1.4685735,-2.4944043,-1.251839,-2.335797,-4.673516,-2.3699775,-1.2925735,-0.72673756,-1.7711543,-2.146023,-0.94398344,-1.2018446,-1.3005699,-1.3937477,-2.3208113,-1.493618
