code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E06000001,0.13882254,-0.799024,-0.91304386,-0.3830101,0.331521,-1.2160362,-0.6785135,-1.1059511,-0.0045643626,-0.16490297,-0.99634117,-1.1983628,-1.0882914,-0.18541637,-0.9791841,-0.9577461,-0.3558531,-1.3314128,1.2876145
E06000002,0.6055701,-0.799024,-1.0134755,-0.2892926,1.757984,-1.6955974,-0.49353775,-1.0681258,-0.5850446,-0.4754734,-0.95774317,-0.95495254,-1.1128385,-0.79117346,-1.0904973,-1.2757876,-0.9025643,-1.2897086,1.2739562
E06000003,-0.07106648,-0.799024,-1.0100268,-0.590414,-0.20751424,-0.98352927,-0.64996547,-1.0416554,0.27173558,-0.3050627,-0.9977062,-1.1977687,-1.1380612,-0.09508604,-0.88595533,-0.9340064,-0.3012336,-1.3013176,1.2778257
E06000004,0.57320267,-0.799024,-1.0320505,-0.39146632,0.6656361,-1.3093742,-0.6651981,-1.1055082,-0.3535451,-0.598816,-0.9952986,-1.1673752,-1.2500777,-0.5093072,-0.9525154,-1.2597889,-1.0685707,-1.297584,1.2862502
E06000005,0.1322967,-0.799024,-0.95869803,-0.60438555,0.0847603,-1.0731618,-0.7883671,-1.1005032,0.15852101,-0.21863884,-0.99617386,-1.044237,-1.0229452,-0.1487424,-0.9349938,-0.8830411,-0.66102695,-1.3149154,1.3070557
E06000006,0.80558676,-0.799024,-1.000731,-0.29111126,0.7872603,-1.2102112,-0.71051586,-1.1048208,-0.77127415,-0.5021158,-0.9887316,-1.2203643,-1.2634679,-0.3735272,-0.96455723,-1.1901157,-0.23766439,-1.3013176,1.2766005
E06000007,0.31782788,-0.799024,-1.0326427,-0.3451055,0.15003161,-1.1722468,-1.0449392,-1.1062229,-0.41034567,-0.5510509,-0.99797934,-1.1693405,-1.2711525,-0.20455687,-0.8994782,-1.1726086,-0.8949691,-1.2897086,1.2907718
E06000008,1.3356884,-0.799024,-1.019532,-0.35955903,4.406913,-1.4798591,-0.5750225,-0.9925682,-1.2160461,-0.57822067,-0.8201155,-0.381962,-0.9407416,-1.187322,-0.6201953,-1.5142537,-0.58139956,-1.3083802,1.3020176
E06000009,1.364373,-0.799024,-1.012411,-0.3705731,-0.014015098,-1.0931962,-0.76691175,-1.095408,0.082872294,0.5322848,-0.99649364,-0.89584833,-0.51491606,-0.15698615,-0.98530346,-0.61872643,-1.356061,-1.3117129,1.2737983
E06000010,0.05215504,-0.799024,-1.0356448,-0.3484699,0.6796882,-1.9851474,-0.5095126,-1.0085255,-0.945485,0.059244882,-0.9770738,-0.97792476,-1.0905124,-0.31515864,-1.0471171,-0.92704535,-0.68375504,-1.317985,1.3067656
