code,final,baseline,logPOP,dPOP,0-19,20-39,40-59,60-79,80+,d1PHHS,d2PHHS,d3PHHS,d4PHHS,d5PHHS,d6+PHHS,dHHS,dCER,days_since_100+_cases,cases
E06000001,1.6751896,1.2824922,1.2674911,0.8138871,0.65102047,2.544539,0.7805359,1.8881892,-0.0399186,1.432837,1.1394352,-0.44142398,1.8414816,1.3914465,1.9648689,0.19845131,1.1153079,1.6899831,1.2455654
E06000002,0.3801735,1.2824922,1.2524891,1.2133746,1.5397084,1.7138351,-0.3094247,1.5900337,-1.0083922,1.3342927,1.0252872,0.32601613,1.8118896,1.25536,2.7116911,0.93152064,0.7328603,1.9036933,1.294925
E06000003,1.5553117,1.2824922,1.2533534,0.53573245,0.08887247,2.9107904,0.6962764,2.1999507,0.40461674,1.3937317,1.1193029,-0.4374643,1.777485,1.3303454,1.6215681,0.1526877,1.2193104,1.8655756,1.2573699
E06000004,0.21633874,1.2824922,1.2378043,0.79954326,0.90201694,2.3921685,0.7427842,1.8104354,-0.61974084,1.2468427,1.137081,-0.27576822,1.5110755,1.4399831,1.8573412,0.8882178,0.6895131,1.8787215,1.3771125
E06000005,2.0595915,1.2824922,1.2615263,0.5202942,0.43015078,2.7715724,1.0195211,1.9615343,0.2249301,1.4181474,1.1100842,0.12000256,1.906416,1.3691717,1.7913928,0.057953384,0.83315134,1.8067222,1.2420825
E06000006,-0.61946917,1.2824922,1.2552816,1.0334613,0.9842537,2.553932,0.8619809,1.9117584,-1.3217565,1.3217654,1.1197652,-0.67739856,1.4325563,1.4520314,1.9046985,0.708825,1.4276018,1.8655756,1.2607278
E06000007,1.0242628,1.2824922,1.2337424,0.8851088,0.49264657,2.6148627,1.3246013,1.8299645,-0.7149493,1.2931294,1.1425941,-0.28459764,1.2153343,1.4017038,1.6665395,0.665917,0.73523015,1.9036933,1.3988819
E06000008,-1.530827,1.2824922,1.2505938,0.85636854,2.6717448,2.103623,0.39144483,1.4091735,-2.072546,1.2711185,0.60448843,1.263341,1.9678017,0.47836614,4.1767273,1.7254258,0.88209105,1.8375669,1.4489144
E06000009,0.10044746,1.2824922,1.2527732,1.3395808,0.32812324,2.7401385,0.9807617,1.9996833,0.10281225,1.6862323,1.1397625,0.44591007,2.0866358,1.3744767,1.9910287,-0.36417657,0.6348072,1.8225412,1.2788354
E06000010,0.7241991,1.2824922,1.2132089,1.3187553,0.9117271,1.1256572,-0.107584015,1.4396783,-1.6152871,1.4971714,1.085259,0.2763848,1.8389381,1.4427959,2.3063807,0.1394743,0.82099724,1.7900182,1.4687324
E06000011,0.8770179,1.2824922,1.1714538,-0.1631068,-0.6374902,3.7261915,1.2486298,2.4684098,1.084425,1.2670815,0.89264864,0.6288822,1.6815677,1.2851557,1.5704367,0.37776452,0.67342347,1.8787215,1.4551835
E06000012,0.033111963,1.2824922,1.2480631,0.73094404,0.65578,2.6639457,0.6516571,1.9570593,0.25836474,1.3826984,1.1121846,0.268683,1.8483791,1.4253429,1.9237798,0.24880762,0.9825244,1.584259,1.2787318
E06000013,-0.6811652,1.2824922,1.245028,0.025320014,0.25670546,2.870492,0.9461574,2.1116698,-0.00864085,1.2561824,1.105029,-0.023726983,1.70142,1.4352329,2.0831418,0.7277033,1.0989977,1.7900182,1.2673912
E06000014,0.31295595,1.2824922,1.2336229,0.69452935,-0.23146872,1.1547456,-0.27626675,1.6583439,-0.030341508,1.3310076,1.1102489,0.8660976,1.9231341,1.3596402,2.0794754,0.32518104,0.559086,1.8225412,1.291693
E06000015,1.0088508,1.2824922,1.2147874,1.2886326,1.6176838,1.8114218,0.13959873,1.4416559,-0.49901724,1.328491,1.040745,0.8963712,1.6716739,1.4058908,3.0318146,0.98922604,0.7338765,1.9841334,1.3886247
E06000016,-0.28664038,1.2824922,1.1620508,1.3839753,2.1568387,0.4365076,-1.0691066,1.0737855,-2.3524477,1.2255934,0.10776077,1.3732272,1.6353761,0.5663599,4.230017,1.8916786,0.6262481,1.9502603,1.3952265
E06000017,0.24897765,1.2824922,1.3915042,-0.32506567,-0.16769184,3.3961213,0.9323279,2.3345532,1.104549,1.2085136,1.0546087,1.3204778,1.9777976,1.29972,1.4419624,0.37749526,-0.04240644,-8.172997,1.2272035
E06000018,-0.19901845,1.2824922,1.1764578,1.3638155,1.5285066,-0.258379,-1.3687639,0.98727775,-2.3568163,1.4551553,0.85693604,1.0800979,2.0047693,1.3541816,3.3648632,0.43928632,0.41519257,1.9388797,1.4287657
E06000019,-0.76659876,1.2824922,1.2393798,-0.4141619,-0.57760775,3.1283562,0.79482484,2.351023,1.0015438,1.302868,1.0476422,0.9057642,1.7331059,1.4505628,1.9377822,0.49234197,0.76418173,1.7723434,1.2651137
E06000020,-0.7781268,1.2824922,1.2434928,0.582262,1.3226628,2.322888,0.8445772,1.7123618,-1.5163549,1.1221973,1.1169848,-0.07831864,1.4740951,1.2023648,2.3523767,1.4153172,0.8182722,1.8225412,1.2497228
E06000021,0.40000883,1.2824922,1.2153903,1.2320329,1.1983563,1.860154,0.066519886,1.6826413,-1.1850076,1.412528,1.1231575,-0.05106695,1.9226453,1.4470247,2.4117413,0.38041478,0.9488309,1.8787215,1.4533256
E06000022,-0.43220788,1.2824922,1.239382,0.53322214,0.27237445,1.5775706,-0.24472037,1.7192477,0.15770897,1.3348373,1.1428021,1.2833365,1.4417096,1.4499146,1.8912022,0.52978575,0.5912158,1.7900182,1.2424254
E06000023,-0.5425133,1.2824922,1.0895288,1.3532251,0.47796446,-0.33867088,-1.1698099,1.0990039,-1.7801946,1.4230835,1.1111028,0.9460473,1.9701537,1.4533845,2.7976918,0.4098079,0.66923875,1.9502603,1.4656503
E06000024,-0.09830955,1.2824922,1.2322208,0.54795957,0.06418183,3.3378124,1.0417725,2.2316504,1.0568712,1.36782,1.0535938,1.0217111,1.6164075,1.404904,1.701617,0.21817878,0.7600207,1.7900182,1.249319
E06000025,-0.38217074,1.2824922,1.2026788,0.54511267,0.48230314,2.2602727,0.9129853,1.7422675,-0.15255208,1.1977228,1.1429522,0.5651239,0.6567321,1.4503244,1.7466882,1.0520362,0.7130548,1.9156584,1.3236234
E06000026,-0.45392132,1.2824922,1.2120867,1.2878895,0.38047335,1.6282831,-0.06612718,1.7310314,-0.3689382,1.3678558,1.1439828,0.5633131,1.9361663,1.4520957,2.3513892,0.4390809,0.6811986,1.8655756,1.2457368
E06000027,-0.106218524,1.2824922,1.253566,1.1455523,-0.58264756,3.4977815,0.67951363,2.4589684,1.4431708,1.489174,0.97782177,1.1322315,2.0863514,1.3565965,1.9551165,-0.2506638,0.66533,1.7336848,1.3008734
E06000030,-0.35974705,1.2824922,1.2292849,0.8010961,1.1027409,2.3365495,1.3413867,1.5407659,-1.2292092,1.3162931,1.1364837,0.10978835,1.3680178,1.4523274,2.1555562,0.7588806,1.6104171,1.8375669,1.2460258
E06000031,-0.9604238,1.2824922,1.2365788,0.5600505,2.2600553,1.8510127,0.2798522,1.3417383,-1.3985628,1.2542921,1.0162002,0.50411457,1.6946547,1.3186994,3.2491286,1.3552258,1.0331571,1.8067222,1.2617357
E06000032,-1.4596459,1.2824922,1.2321522,1.3883474,2.9958818,1.3485283,-0.25721067,1.0574197,-1.8023293,1.1134921,0.094531156,1.0820642,1.806262,0.27842444,4.376255,1.788554,1.0886694,1.9388797,1.3204309
E06000033,0.26863736,1.2824922,1.2421998,1.3602637,0.6431635,2.597837,1.122208,1.768255,0.19675843,1.4041138,1.1233984,0.62915736,1.6133776,1.4465803,2.2122157,0.43041375,0.88609535,1.9036933,1.2523015
