code,logPOP_effect,dPOP_effect,logPOP_cause,dPOP_cause,legend_logPOP,legend_dPOP,0-19_effect,20-39_effect,40-59_effect,60-79_effect,80+_effect,0-19_cause,20-39_cause,40-59_cause,60-79_cause,80+_cause,legend_0-19,legend_20-39,legend_40-59,legend_60-79,legend_80+,d1PHHS_effect,d2PHHS_effect,d3PHHS_effect,d4PHHS_effect,d5PHHS_effect,d6+PHHS_effect,dCER_effect,dHHS_effect,d1PHHS_cause,d2PHHS_cause,d3PHHS_cause,d4PHHS_cause,d5PHHS_cause,d6+PHHS_cause,dCER_cause,dHHS_cause,legend_d1PHHS,legend_d2PHHS,legend_d3PHHS,legend_d4PHHS,legend_d5PHHS,legend_d6+PHHS,legend_dCER,legend_dHHS,days_since_100+_cases_effect,cases_effect,days_since_100+_cases_cause,cases_cause,legend_days_since_100+,legend_cases
E06000001,1.2674911,0.8138871,-0.8802768616517463,0.25331715525254234,Total Population,Population Density,0.65102047,2.544539,0.7805359000000001,1.8881892,-0.0399186,0.23938546043565861,-0.046715290123558226,-0.09172467192565174,-0.021230369051795255,-0.00581778442927046,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.4328370000000001,1.1394351999999999,-0.44142398,1.8414816000000003,1.3914465,1.9648689,1.1153079,0.19845131,1.084313795290639,-0.030798033636858492,1.488756944221023,-0.4902421754343641,-0.7268598837319526,-0.33482106653795896,-0.7888798397720551,-0.7692323494156665,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.6899831000000003,1.2455653999999998,-0.2253052289035792,0.28169994100196655,Days Since the 100th Case,Total Cases
E06000002,1.2524891000000002,1.2133746,-0.15364469636046307,0.9350732767326237,Total Population,Population Density,1.5397083999999999,1.7138351000000003,-0.30942470000000005,1.5900337,-1.0083921999999998,1.2052475405388108,0.7002102981397238,-1.5376524311376245,-0.6020500020733939,-0.6875362004231116,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.3342927,1.0252872,0.32601613,1.8118896,1.25536,2.7116911,0.7328603,0.93152064,0.16962777786753255,-0.6833035773325332,0.351755365499227,-0.4129467411333347,0.9386862699478297,0.5715942692564522,0.21636668768817618,0.26578829634345796,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.9036933,1.294925,0.3499017350080871,0.6961023188079639,Days Since the 100th Case,Total Cases
E06000003,1.2533534,0.53573245,-0.2025331211176676,-0.15323263167977413,Total Population,Population Density,0.08887247,2.9107903999999998,0.6962764,2.1999507,0.40461674,-0.37763707780795597,-0.38363910885844826,-0.2169405648488223,0.6441133369554016,0.3541848758127808,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.3937317,1.1193028999999999,-0.43746430000000003,1.7774849999999998,1.3303454,1.6215681,1.2193104,0.1526877,0.7212515808724459,0.4961588431861722,1.482950985538399,-0.3271495854034197,-0.9975443705230858,-0.7534806516256716,-0.9595329776469992,-0.8373721465097319,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8655756000000001,1.2573698999999998,0.21716166641308715,0.43872964152673866,Days Since the 100th Case,Total Cases
E06000004,1.2378042999999999,0.79954326,0.44624270245724507,0.23167014621508272,Total Population,Population Density,0.90201694,2.3921685,0.7427842,1.8104354,-0.61974084,0.513637147622832,0.09204333374786107,-0.14841679437301683,-0.17571718093568478,-0.4263990943633299,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.2468427,1.137081,-0.27576822,1.5110755,1.4399831,1.8573412,0.6895131,0.8882178,-0.5156374482035236,-0.06677196505861421,1.245409771330752,0.2377523362083051,0.1748774369413729,-0.465349942564707,0.47233277775685384,0.2052342005457779,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8787215,1.3771125,0.2614083559447538,1.0529324234284656,Days Since the 100th Case,Total Cases
E06000005,1.2615263,0.5202942,-0.6437509926869789,-0.1752134505598303,Total Population,Population Density,0.43015078,2.7715723999999997,1.0195211,1.9615343,0.2249301,-0.0026443728854569216,-0.2550046530906878,0.2964346336342672,0.12754329575953036,0.20360652274931584,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.4181473999999998,1.1100842,0.12000256,1.9064159999999999,1.3691716999999999,1.7913928,0.83315134,0.057953384000000004,0.9512262031727883,0.5586268517755264,0.6598222455720485,-0.6743361997442402,-0.8352649361858506,-0.5456404226122487,-0.1643217486765167,-0.9811156018981827,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8067221999999998,1.2420825,0.04017490828642062,0.10098982800617623,Days Since the 100th Case,Total Cases
E06000006,1.2552816,1.0334613000000001,-0.313248168133392,0.6024840456376407,Total Population,Population Density,0.9842537,2.553932,0.8619809000000002,1.9117583999999999,-1.3217565,0.6032834523842346,-0.05530036594829323,0.03429326812424617,0.026213848855385805,-0.8892946708751169,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.3217653999999999,1.1197652,-0.67739856,1.4325563000000001,1.4520313999999999,1.9046985,1.4276018,0.708825,0.06114255888268224,-0.23582340589929757,1.8343305716074807,0.3804048170472082,-0.19438198394829975,-0.4078079345798646,-1.2589033808691579,-0.04413362913195245,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8655756000000001,1.2607278,0.21716166641308715,0.46993380660210554,Days Since the 100th Case,Total Cases
E06000007,1.2337424,0.8851088,0.5536690427767211,0.36254309822291164,Total Population,Population Density,0.49264657,2.6148627,1.3246013,1.8299645,-0.7149493,0.0658966327453952,-0.11103512170337013,0.9271322362724997,-0.1371804973205088,-0.4916576745170361,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.2931294,1.1425941000000002,-0.28459764,1.2153343,1.4017038,1.6665395,0.73523015,0.665917,-0.17370138817635458,0.03735213949331041,1.2583987803822767,0.7352598125340057,-0.6710063883730278,-0.6982730489923339,0.20476561709580166,-0.10372688518103798,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.9036933,1.3988819,0.3499017350080871,1.1370876891198693,Days Since the 100th Case,Total Cases
E06000008,1.2505938,0.85636854,-0.050883571146413994,0.31810642067921713,Total Population,Population Density,2.6717447999999995,2.103623,0.39144483,1.4091735,-2.072546,2.4012447205031444,0.35259552454042437,-0.639585246130724,-0.9466264995981419,-1.3497644795808421,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.2711185,0.60448843,1.263341,1.9678016999999999,0.47836614,4.1767273000000005,0.88209105,1.7254258000000002,-0.34194256086580976,-1.6406373578663347,-1.0956116868357264,-0.8753879351585009,2.178100396469376,2.79955385664866,-0.30195152868339287,1.5697390740531225,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8375669,1.4489143999999998,0.12866828734975388,1.3426144124363064,Days Since the 100th Case,Total Cases
E06000009,1.2527732,1.3395808,-0.1693378827723343,1.235280858419915,Total Population,Population Density,0.32812324,2.7401385,0.9807617000000001,1.9996832999999998,0.10281225,-0.11462715130340975,-0.22605807980132983,0.22926235268415632,0.2063678876044949,0.10538016216690589,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.6862323000000001,1.1397625,0.44591007,2.0866358,1.3744767,1.9910287,0.6348071999999999,-0.36417657,2.458559847827977,-0.025131697372534918,0.17117646522299032,-1.668331309694773,-0.8107368634380271,-0.3031290976372454,0.9984910248185408,-1.688788645456802,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.8225412,1.2788354,0.08442159781808725,0.6032038238888556,Days Since the 100th Case,Total Cases
E06000010,1.2132089,1.3187553,0.9400886007153632,1.1781486968225214,Total Population,Population Density,0.9117271,1.1256572,-0.107584015,1.4396783000000002,-1.6152871000000002,0.5242285427833575,1.2163372741603378,-1.281342628995598,-0.8884992545924444,-1.072642475003102,Ages 0-19,Ages 20-39,Ages 40-59,Ages 60-79,Ages 80+,1.4971714,1.085259,0.2763848,1.8389381,1.4427959,2.3063807,0.82099724,0.1394743,1.5834819231731243,-0.4400872341812477,0.42622514690029994,-0.4834673903719463,-0.3561984169383859,0.07813029365563559,-0.12664532897563088,-0.8571994961359215,1 Person Household,2 People Household,3 People Household,4 People Household,5 People Household,6+ People Household,Residents in  Communal Establishments,Mean Household Size,1.7900182,1.4687324,-0.0040717812452460206,1.4426587630718783,Days Since the 100th Case,Total Cases
