name,code,All Ages,Age 0 - 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+
Darlington,E06000005,106695,"5,746","6,592","6,507","5,569","5,345","6,313","6,537","6,640","6,311","7,259","7,787","7,554","6,559","5,874","5,929","3,990","3,264","2,916"
County Durham,E06000047,529678,"26,444","30,307","29,241","29,111","35,832","33,696","30,323","30,764","27,872","33,822","39,295","38,223","34,409","31,146","30,833","20,789","14,977","12,597"
Hartlepool,E06000001,93366,"5,157","5,958","5,781","5,066","5,237","6,006","6,097","5,517","4,967","5,944","6,760","6,790","5,918","5,164","4,902","3,098","2,637","2,365"
Middlesbrough,E06000002,140531,"9,484","9,763","8,632","8,402","11,291","10,986","9,522","8,224","7,258","8,051","8,741","8,978","8,124","6,641","6,012","4,206","3,379","2,840"
Northumberland,E06000057,321607,"14,756","16,872","17,285","15,646","14,424","16,307","17,098","17,723","17,241","20,662","24,082","25,825","24,159","22,473","22,227","14,742","10,550","9,536"
Redcar and Cleveland,E06000003,137349,"7,199","8,382","7,905","7,016","7,179","8,255","8,238","7,608","6,754","8,463","10,037","10,253","9,034","8,255","8,552","5,998","4,440","3,784"
Stockton-on-Tees,E06000004,197772,"11,414","13,079","12,581","10,841","10,372","13,010","13,301","12,899","11,186","12,856","13,962","13,877","11,977","10,549","9,699","6,546","5,082","4,541"
Gateshead,E08000037,202732,"10,567","11,451","11,130","10,913","12,609","13,428","14,243","13,636","11,826","12,926","14,117","14,045","12,208","10,475","10,552","7,380","6,002","5,222"
Newcastle upon Tyne,E08000021,301748,"16,583","17,499","15,805","20,981","39,284","29,759","21,308","17,983","15,086","15,977","16,487","16,465","14,736","12,199","11,353","7,587","6,363","6,290"
North Tyneside,E08000022,207279,"11,188","12,076","11,897","10,088","9,767","11,829","13,632","14,201","12,974","14,343","15,029","14,965","13,291","11,981","11,456","7,389","5,735","5,437"
South Tyneside,E08000023,150849,"8,261","8,764","8,462","7,600","8,152","9,620","9,978","9,082","8,074","9,525","11,195","11,410","10,200","8,741","8,163","5,416","4,325","3,881"
Sunderland,E08000024,277523,"14,748","16,033","15,395","14,344","16,985","19,989","18,233","16,273","14,979","17,965","19,546","19,992","18,290","15,924","14,904","9,917","7,728","6,282"
Blackburn with Darwen,E06000008,149084,"10,391","11,037","10,946","9,694","9,248","9,704","10,208","10,556","9,063","9,902","9,957","9,061","7,605","6,490","5,992","3,904","2,965","2,360"
Blackpool,E06000009,139241,"8,235","8,436","7,903","7,273","7,821","8,873","8,362","7,685","7,237","9,271","10,697","10,206","8,769","7,419","7,870","5,532","4,016","3,638"
Cheshire East,E06000049,382839,"20,080","22,032","22,495","18,993","16,657","19,257","19,944","21,819","22,272","27,467","30,228","28,998","24,331","22,825","24,052","16,974","12,353","12,064"
Cheshire West and Chester,E06000050,343468,"18,405","20,237","19,507","18,077","19,327","19,413","19,250","20,173","19,332","23,418","25,497","25,139","21,229","19,991","20,388","14,117","10,316","9,651"
