date,daily_cases,7_day_rolling_cases,Cutoff
2020-01-30,0,,12-7-2020
2020-01-31,0,,12-7-2020
2020-02-01,0,,12-7-2020
2020-02-02,0,,12-7-2020
2020-02-03,0,,12-7-2020
2020-02-04,0,,12-7-2020
2020-02-05,0,0.0,12-7-2020
2020-02-06,0,0.0,12-7-2020
2020-02-07,0,0.0,12-7-2020
2020-02-08,3,0.42857142857142855,12-7-2020
2020-02-09,1,0.5714285714285714,12-7-2020
2020-02-10,0,0.5714285714285714,12-7-2020
2020-02-11,0,0.5714285714285714,12-7-2020
2020-02-12,0,0.5714285714285714,12-7-2020
2020-02-13,0,0.5714285714285714,12-7-2020
2020-02-14,0,0.5714285714285714,12-7-2020
2020-02-15,0,0.14285714285714285,12-7-2020
2020-02-16,0,0.0,12-7-2020
2020-02-17,0,0.0,12-7-2020
2020-02-18,0,0.0,12-7-2020
2020-02-19,0,0.0,12-7-2020
2020-02-20,0,0.0,12-7-2020
2020-02-21,0,0.0,12-7-2020
2020-02-22,0,0.0,12-7-2020
2020-02-23,0,0.0,12-7-2020
2020-02-24,0,0.0,12-7-2020
2020-02-25,0,0.0,12-7-2020
2020-02-26,0,0.0,12-7-2020
2020-02-27,2,0.2857142857142857,12-7-2020
2020-02-28,3,0.7142857142857143,12-7-2020
2020-02-29,2,1.0,12-7-2020
2020-03-01,3,1.4285714285714286,12-7-2020
2020-03-02,13,3.2857142857142856,12-7-2020
2020-03-03,22,6.428571428571429,12-7-2020
2020-03-04,27,10.285714285714286,12-7-2020
2020-03-05,32,14.571428571428571,12-7-2020
2020-03-06,46,20.714285714285715,12-7-2020
2020-03-07,39,26.0,12-7-2020
2020-03-08,44,31.857142857142858,12-7-2020
2020-03-09,104,44.857142857142854,12-7-2020
2020-03-10,228,74.28571428571429,12-7-2020
2020-03-11,347,120.0,12-7-2020
2020-03-12,474,183.14285714285714,12-7-2020
2020-03-13,415,235.85714285714286,12-7-2020
2020-03-14,341,279.0,12-7-2020
2020-03-15,427,333.7142857142857,12-7-2020
2020-03-16,600,404.57142857142856,12-7-2020
2020-03-17,746,478.57142857142856,12-7-2020
2020-03-18,948,564.4285714285714,12-7-2020
2020-03-19,993,638.5714285714286,12-7-2020
2020-03-20,1163,745.4285714285714,12-7-2020
2020-03-21,1156,861.8571428571429,12-7-2020
2020-03-22,1351,993.8571428571429,12-7-2020
2020-03-23,2168,1217.857142857143,12-7-2020
2020-03-24,2191,1424.2857142857142,12-7-2020
2020-03-25,2520,1648.857142857143,12-7-2020
2020-03-26,2843,1913.142857142857,12-7-2020
2020-03-27,2853,2154.5714285714284,12-7-2020
2020-03-28,2637,2366.1428571428573,12-7-2020
2020-03-29,2666,2554.0,12-7-2020
2020-03-30,3972,2811.714285714286,12-7-2020
2020-03-31,4073,3080.5714285714284,12-7-2020
2020-04-01,4553,3371.0,12-7-2020
2020-04-02,4502,3608.0,12-7-2020
2020-04-03,4444,3835.285714285714,12-7-2020
2020-04-04,3692,3986.0,12-7-2020
2020-04-05,3375,4087.285714285714,12-7-2020
2020-04-06,4778,4202.428571428572,12-7-2020
2020-04-07,4983,4332.428571428572,12-7-2020
2020-04-08,4778,4364.571428571428,12-7-2020
2020-04-09,4554,4372.0,12-7-2020
2020-04-10,4002,4308.857142857143,12-7-2020
2020-04-11,3313,4254.714285714285,12-7-2020
2020-04-12,3242,4235.714285714285,12-7-2020
2020-04-13,3734,4086.5714285714284,12-7-2020
2020-04-14,3901,3932.0,12-7-2020
2020-04-15,4512,3894.0,12-7-2020
2020-04-16,4723,3918.1428571428573,12-7-2020
2020-04-17,4445,3981.4285714285716,12-7-2020
2020-04-18,4270,4118.142857142857,12-7-2020
2020-04-19,3652,4176.714285714285,12-7-2020
2020-04-20,3937,4205.714285714285,12-7-2020
2020-04-21,4287,4260.857142857143,12-7-2020
2020-04-22,5223,4362.428571428572,12-7-2020
2020-04-23,4913,4389.571428571428,12-7-2020
2020-04-24,4675,4422.428571428572,12-7-2020
2020-04-25,3611,4328.285714285715,12-7-2020
2020-04-26,3460,4300.857142857143,12-7-2020
2020-04-27,4581,4392.857142857143,12-7-2020
2020-04-28,4453,4416.571428571428,12-7-2020
2020-04-29,5106,4399.857142857143,12-7-2020
2020-04-30,4730,4373.714285714285,12-7-2020
2020-05-01,4513,4350.571428571428,12-7-2020
2020-05-02,3084,4275.285714285715,12-7-2020
2020-05-03,2842,4187.0,12-7-2020
2020-05-04,3152,3982.8571428571427,12-7-2020
2020-05-05,3386,3830.4285714285716,12-7-2020
2020-05-06,3568,3610.714285714286,12-7-2020
2020-05-07,3487,3433.1428571428573,12-7-2020
2020-05-08,2887,3200.8571428571427,12-7-2020
2020-05-09,2049,3053.0,12-7-2020
2020-05-10,2230,2965.5714285714284,12-7-2020
2020-05-11,3458,3009.285714285714,12-7-2020
2020-05-12,3227,2986.5714285714284,12-7-2020
2020-05-13,3201,2934.1428571428573,12-7-2020
2020-05-14,2423,2782.1428571428573,12-7-2020
2020-05-15,2377,2709.285714285714,12-7-2020
2020-05-16,2092,2715.4285714285716,12-7-2020
2020-05-17,1768,2649.4285714285716,12-7-2020
2020-05-18,2503,2513.0,12-7-2020
2020-05-19,2885,2464.1428571428573,12-7-2020
2020-05-20,2666,2387.714285714286,12-7-2020
2020-05-21,2545,2405.1428571428573,12-7-2020
2020-05-22,2024,2354.714285714286,12-7-2020
2020-05-23,1486,2268.1428571428573,12-7-2020
2020-05-24,1318,2203.8571428571427,12-7-2020
2020-05-25,1538,2066.0,12-7-2020
2020-05-26,1597,1882.0,12-7-2020
2020-05-27,1864,1767.4285714285713,12-7-2020
2020-05-28,1789,1659.4285714285713,12-7-2020
2020-05-29,1546,1591.142857142857,12-7-2020
2020-05-30,1157,1544.142857142857,12-7-2020
2020-05-31,1122,1516.142857142857,12-7-2020
2020-06-01,1402,1496.7142857142858,12-7-2020
2020-06-02,1493,1481.857142857143,12-7-2020
2020-06-03,1383,1413.142857142857,12-7-2020
2020-06-04,1254,1336.7142857142858,12-7-2020
2020-06-05,1088,1271.2857142857142,12-7-2020
2020-06-06,814,1222.2857142857142,12-7-2020
2020-06-07,714,1164.0,12-7-2020
2020-06-08,1089,1119.2857142857142,12-7-2020
2020-06-09,1149,1070.142857142857,12-7-2020
2020-06-10,1174,1040.2857142857142,12-7-2020
2020-06-11,1000,1004.0,12-7-2020
2020-06-12,1034,996.2857142857143,12-7-2020
2020-06-13,875,1005.0,12-7-2020
2020-06-14,813,1019.1428571428571,12-7-2020
2020-06-15,1026,1010.1428571428571,12-7-2020
2020-06-16,1119,1005.8571428571429,12-7-2020
2020-06-17,991,979.7142857142857,12-7-2020
2020-06-18,998,979.4285714285714,12-7-2020
2020-06-19,952,967.7142857142857,12-7-2020
2020-06-20,680,939.8571428571429,12-7-2020
2020-06-21,641,915.2857142857143,12-7-2020
2020-06-22,899,897.1428571428571,12-7-2020
2020-06-23,855,859.4285714285714,12-7-2020
2020-06-24,773,828.2857142857143,12-7-2020
2020-06-25,691,784.4285714285714,12-7-2020
2020-06-26,669,744.0,12-7-2020
2020-06-27,653,740.1428571428571,12-7-2020
2020-06-28,459,714.1428571428571,12-7-2020
2020-06-29,745,692.1428571428571,12-7-2020
2020-06-30,618,658.2857142857143,12-7-2020
2020-07-01,663,642.5714285714286,12-7-2020
