code,name,area,population,dPOP,All ages,0-19,20-39,40-59,60-79,80+,Area name ,Care home,Elsewhere,Home,Hospice,Hospital,Other communal establishment,deaths_general,deaths_restricted,cases,days_since_100+_cases,total,1PHHS,2PHHS,3PHHS,4PHHS,5PHHS,6+PHHS,total_households,Household residents,Communal establishment residents,Households with at least one usual resident
E06000001,Hartlepool,94.0,93242.0,991.936170212766,93242.0,22046.0,22868.0,24735.0,18649.0,4944.0,Hartlepool,43,0,3,14,82,0,85,57,4164.0,238.0,40434,13392,13478,6629,4759,1526,650,92000.0,91100.0,900.0,40400.0
E06000002,Middlesbrough,54.0,140545.0,2602.685185185185,140545.0,36195.0,40134.0,33518.0,24536.0,6162.0,Middlesbrough,82,0,5,1,151,0,156,83,5881.0,251.0,57203,17708,18554,9221,7220,2992,1508,138400.0,136200.0,2300.0,57200.0
E06000003,Redcar and Cleveland,245.0,136718.0,558.0326530612244,136718.0,30483.0,31045.0,35951.0,31327.0,7912.0,Redcar and Cleveland,78,2,6,0,116,0,124,78,4746.0,248.0,59605,18735,21165,9738,7119,2132,716,135200.0,133900.0,1200.0,59600.0
E06000004,Stockton-on-Tees,205.0,197213.0,962.0146341463415,197213.0,47810.0,49844.0,52109.0,38110.0,9340.0,Stockton-on-Tees,105,1,9,3,138,0,148,108,7917.0,249.0,79159,21986,27938,13583,10704,3700,1248,191600.0,188000.0,3700.0,79200.0
E06000005,Darlington,197.0,106566.0,540.9441624365483,106566.0,24633.0,24938.0,29036.0,22008.0,5951.0,Darlington,94,0,2,1,58,1,60,96,3582.0,244.0,46670,15101,16657,7191,5352,1717,652,105600.0,104100.0,1500.0,46700.0
E06000006,Halton,79.0,128432.0,1625.7215189873418,128432.0,31387.0,31439.0,34370.0,25954.0,5282.0,Halton,50,0,6,0,115,0,121,50,4871.0,248.0,53312,15833,17938,9272,7130,2289,850,125800.0,124900.0,900.0,53300.0
E06000007,Warrington,181.0,209547.0,1157.7182320441989,209547.0,48751.0,50665.0,59544.0,40847.0,9740.0,Warrington,135,1,6,3,190,0,197,138,8492.0,251.0,85140,24534,29885,14347,11868,3388,1118,202200.0,198800.0,3400.0,85100.0
E06000008,Blackburn with Darwen,137.0,148942.0,1087.1678832116788,148942.0,42248.0,39738.0,37999.0,23755.0,5202.0,Blackburn with Darwen,14,0,17,3,167,0,184,17,10078.0,246.0,57353,17419,17082,8808,7307,3741,2996,147500.0,145800.0,1700.0,57400.0
E06000009,Blackpool,35.0,139305.0,3980.1428571428573,139305.0,31860.0,32817.0,37783.0,29250.0,7595.0,Blackpool,38,0,9,8,172,3,181,49,5443.0,245.0,64367,24446,20833,9345,6399,2321,1023,142100.0,138000.0,4100.0,64400.0
E06000010,"Kingston upon Hull, City of",71.0,260645.0,3671.056338028169,260645.0,63248.0,81689.0,63398.0,42234.0,10076.0,"Kingston upon Hull, City of",119,0,17,4,195,1,212,124,10954.0,243.0,112596,39788,35562,17174,13273,4540,2259,256400.0,252700.0,3700.0,112600.0
E06000011,East Riding of Yorkshire,2405.0,339614.0,141.2116424116424,339614.0,69786.0,63062.0,95370.0,88671.0,22725.0,East Riding of Yorkshire,156,2,33,2,241,1,276,159,10328.0,249.0,143032,39276,57418,21535,18017,5105,1681,334200.0,327000.0,7200.0,143000.0
E06000012,North East Lincolnshire,192.0,159821.0,832.4010416666666,159821.0,37806.0,38254.0,41835.0,32942.0,8984.0,North East Lincolnshire,57,0,2,3,86,0,88,60,5440.0,234.0,69707,21793,25134,10699,8239,2748,1094,159600.0,157800.0,1800.0,69700.0
E06000013,North Lincolnshire,846.0,172005.0,203.31560283687944,172005.0,39044.0,39404.0,46466.0,37915.0,9176.0,North Lincolnshire,30,0,1,3,120,0,121,33,5097.0,243.0,70684,19420,26503,11570,8983,2924,1284,167400.0,165900.0,1600.0,70700.0
E06000014,York,272.0,209893.0,771.6654411764706,209893.0,45181.0,65496.0,50221.0,37845.0,11150.0,York,83,0,10,4,93,1,103,88,5796.0,245.0,83552,25224,31228,12414,9977,3194,1515,198000.0,190400.0,7700.0,83600.0
E06000015,Derby,78.0,257174.0,3297.102564102564,257174.0,66702.0,72237.0,64050.0,41714.0,12471.0,Derby,111,5,18,22,244,1,267,134,8216.0,258.0,102271,31578,33604,15537,13438,4983,3131,248700.0,244600.0,4100.0,102300.0
E06000016,Leicester,73.0,355218.0,4866.0,355218.0,96587.0,122731.0,77831.0,46455.0,11614.0,Leicester,86,3,26,2,280,11,309,99,18586.0,255.0,123125,36951,33618,19422,17970,8262,6902,329900.0,321500.0,8300.0,123100.0
E06000017,Rutland,382.0,39697.0,103.91884816753927,39697.0,8606.0,8042.0,10707.0,9673.0,2669.0,Rutland,13,0,3,2,16,0,19,15,515.0,123.0,15002,4111,6089,2217,1845,577,163,37400.0,34300.0,3100.0,15000.0
