Table Name,Sort,Variable Name,Variable Description,Variable Type,Variable Width,Decimal Places,Source,Variable Description (Simplified),Select Column? (y/n),Variable-Catg,Variable-Sub-Catg
ACS1418_01,1,ACSTOTPOP,2018 Total Population (ACS 5-Yr),N,9,0,ACS,Total Population,y,Total Population,
ACS1418_01,2,MOETOTPOP,2018 Total Population MOE (ACS 5-Yr),N,9,0,MOE,Total Population MOE,,Total Population MOE,
ACS1418_01,3,RELTOTPOP,2018 Total Population REL (ACS 5-Yr),N,1,0,REL,Total Population REL,,Total Population REL,
ACS1418_01,4,ACSTOTHH,2018 Total Households (ACS 5-Yr),N,9,0,ACS,Total Households,y,Total Households,
ACS1418_01,5,MOETOTHH,2018 Total Households MOE (ACS 5-Yr),N,9,0,MOE,Total Households MOE,,Total Households MOE,
ACS1418_01,6,RELTOTHH,2018 Total Households REL (ACS 5-Yr),N,1,0,REL,Total Households REL,,Total Households REL,
ACS1418_01,7,ACSTOTHU,2018 Total Housing Units (ACS 5-Yr),N,9,0,ACS,Total Housing Units,y,Total Housing Units,
ACS1418_01,8,MOETOTHU,2018 Total Housing Units MOE (ACS 5-Yr),N,9,0,MOE,Total Housing Units MOE,,Total Housing Units MOE,
ACS1418_01,9,RELTOTHU,2018 Total Housing Units REL (ACS 5-Yr),N,1,0,REL,Total Housing Units REL,,Total Housing Units REL,
ACS1418_01,10,ACSOWNER,2018 Owner Households (ACS 5-Yr),N,9,0,ACS,Owner Households,y,Owner Households,
ACS1418_01,11,MOEOWNER,2018 Owner Households MOE (ACS 5-Yr),N,9,0,MOE,Owner Households MOE,,Owner Households MOE,
ACS1418_01,12,RELOWNER,2018 Owner Households REL (ACS 5-Yr),N,1,0,REL,Owner Households REL,,Owner Households REL,
ACS1418_01,13,ACSSCHBASE,2018 Pop Age 3+ by School Enrollment Base (ACS 5-Yr),N,9,0,ACS,Pop Age 3+ by School Enrollment Base,,Pop Age 3+ by School Enrollment Base,
ACS1418_01,14,MOESCHBASE,2018 Pop Age 3+ by School Enrollment Base MOE (ACS 5-Yr),N,9,0,MOE,Pop Age 3+ by School Enrollment Base MOE,,Pop Age 3+ by School Enrollment Base MOE,
ACS1418_01,15,RELSCHBASE,2018 Pop Age 3+ by School Enrollment Base REL (ACS 5-Yr),N,1,0,REL,Pop Age 3+ by School Enrollment Base REL,,Pop Age 3+ by School Enrollment Base REL,
ACS1418_01,16,ACSINSCH,2018 Pop 3+ Enrolled in School (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in School,,Pop 3+ Enrolled in School,
ACS1418_01,17,MOEINSCH,2018 Pop 3+ Enrolled in School MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in School MOE,,Pop 3+ Enrolled in School MOE,
ACS1418_01,18,RELINSCH,2018 Pop 3+ Enrolled in School REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in School REL,,Pop 3+ Enrolled in School REL,
ACS1418_01,19,ACSPRESCH,2018 Pop 3+ Enrolled in Nursery/Preschool (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Nursery/Preschool,,Pop 3+ Enrolled in Nursery/Preschool,
ACS1418_01,20,MOEPRESCH,2018 Pop 3+ Enrolled in Nursery/Preschool MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Nursery/Preschool MOE,,Pop 3+ Enrolled in Nursery/Preschool MOE,
ACS1418_01,21,RELPRESCH,2018 Pop 3+ Enrolled in Nursery/Preschool REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Nursery/Preschool REL,,Pop 3+ Enrolled in Nursery/Preschool REL,
ACS1418_01,22,ACSPUBPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Public (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Nursery/Preschool: Public,,Pop 3+ Enrolled in Nursery/Preschool,Public
ACS1418_01,23,MOEPUBPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Public MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Nursery/Preschool: Public MOE,,Pop 3+ Enrolled in Nursery/Preschool,Public MOE
ACS1418_01,24,RELPUBPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Public REL (ACS 5-Yr),N,1,0,REL,Pop 3+ Enrolled in Nursery/Preschool: Public REL,,Pop 3+ Enrolled in Nursery/Preschool,Public REL
ACS1418_01,25,ACSPRVPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Private (ACS 5-Yr),N,9,0,ACS,Pop 3+ Enrolled in Nursery/Preschool: Private,,Pop 3+ Enrolled in Nursery/Preschool,Private
ACS1418_01,26,MOEPRVPRE,2018 Pop 3+ Enrolled in Nursery/Preschool: Private MOE (ACS 5-Yr),N,9,0,MOE,Pop 3+ Enrolled in Nursery/Preschool: Private MOE,,Pop 3+ Enrolled in Nursery/Preschool,Private MOE
