,predicted,actual
Alachua,67.21001612051583,31.0
Baker,152.82245134366397,6.0
Bay,77.5956837728582,24.0
Bradford,20.511342468896324,9.0
Brevard,36.02923767627521,23.0
Broward,235.7117370358338,245.0
Calhoun,34.57015020948775,3.0
Charlotte,29.791983996701845,26.0
Citrus,33.7519886507177,20.0
Clay,52.64830027646169,22.0
Collier,41.44756202980528,44.0
Columbia,26.04200912002007,36.0
DeSoto,5.781688225040995,2.0
Desoto,1.0,0.0
Dixie,43.62331327968542,2.0
Duval,152.26949746176905,104.0
Escambia,151.71362462638135,38.0
Flagler,21.819671233018624,10.0
Franklin,205.99892964860734,2.0
Gadsden,62.75470945653912,26.0
Gilchrist,2.6744348253094032,5.0
Glades,2.5775033131536498,0.0
Gulf,59.94728293253387,9.0
Hamilton,3.685589554975223,6.0
Hardee,7.855541433853779,9.0
Hendry,10.468679675164474,11.0
Hernando,47.07472158689822,18.0
Highlands,61.197656723617314,20.0
Hillsborough,225.62145914315025,147.0
Holmes,13.092635298973065,6.0
Indian River,21.510848634775687,11.0
Jackson,15.34536548650897,9.0
Jefferson,15.682110026210498,3.0
Lafayette,3.8268293543496648,5.0
Lake,55.7523697946213,42.0
Lee,58.46348983983498,53.0
Leon,90.53416129948825,43.0
Levy,23.698151702272273,8.0
Liberty,4.135212592315044,2.0
Madison,6.428837909644858,8.0
Manatee,37.13561027299924,47.0
Marion,272.1512951087743,81.0
Martin,17.596674665961462,16.0
Miami-Dade,489.1522562638601,772.0
Monroe,16.446297292703495,0.0
Nassau,14.313166035226798,42.0
Okaloosa,91.29013921186893,34.0
Okeechobee,21.916331101770126,7.0
Orange,162.22519768328837,124.0
Osceola,80.32161429734577,51.0
Palm Beach,229.54297099271741,183.0
Pasco,56.060215679862836,65.0
Pinellas,91.77543743207247,79.0
Polk,131.5199619520007,93.0
Putnam,21.644794729426952,14.0
Santa Rosa,61.48774812096206,25.0
Sarasota,43.862074996302695,41.0
Seminole,38.9651685091903,21.0
St. Johns,39.23132548997589,16.0
St. Lucie,71.95307454186941,43.0
Sumter,24.139210254484585,13.0
Suwannee,36.38712474664139,33.0
Taylor,55.62396115561131,8.0
Unassigned,15.768229990999782,3.0
Union,8.001390694228748,4.0
Volusia,69.60457625017621,47.0
Wakulla,7.312814074316514,6.0
Walton,19.126293605517553,16.0
Washington,104.985199426997,1.0
