state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
AL,3/15/2020,0,0,0,0,0,0,,,
AR,3/15/2020,0,0,0,0,0,0,,,
CA,3/15/2020,195.7981439,168.4948591,223.1014286,0.003831417625,0.003294398716,0.004368436533,,,
FL,3/15/2020,2492.04,2395.511516,2588.568484,0.02631578947,0.02529604541,0.02733553354,,,
GA,3/15/2020,1255.006098,1187.882503,1322.129692,0.05187319885,0.0490584063,0.0546879914,,,
GU,3/15/2020,7.270440252,3.776909123,10.76397138,0.02857142857,-0.001948980741,0.05909183788,,,
HI,3/15/2020,39.170441,29.22515298,49.11572902,0.01618929016,0.01003703795,0.02234154237,,,
IA,3/15/2020,0,0,0,0,0,0,,,
IL,3/15/2020,763.66,710.3109129,817.0090871,0.02857142857,0.02657281893,0.03057003822,,,
IN,3/15/2020,236.3225806,206.6401239,266.0050374,0.01282051282,0.01118251312,0.01445851252,,,
KS,3/15/2020,28.12810458,18.12753627,38.12867288,0.003610108303,0.002228334337,0.00499188227,,,
KY,3/15/2020,55.31438127,40.88904949,69.73971305,0.002702702703,0.001984893123,0.003420512282,,,
LA,3/15/2020,1314.592593,1246.930552,1382.254634,0.07228915663,0.06848154329,0.07609676996,,,
MD,3/15/2020,0,0,0,0,0,0,,,
ME,3/15/2020,20.14035088,11.59587397,28.68482778,0.007092198582,0.003926158033,0.01025823913,,,
MI,3/15/2020,408.7938931,369.7247667,447.8630196,0.02325581395,0.02102228894,0.02548933897,,,
MN,3/15/2020,0,0,0,0,0,0,,,
MO,3/15/2020,98.26185102,79.07523522,117.4484668,0.004524886878,0.003623000355,0.0054267734,,,
MS,3/15/2020,0,0,0,0,0,0,,,
MT,3/15/2020,0,0,0,0,0,0,,,
NC,3/15/2020,135.994382,113.3358632,158.6529008,0.01,0.008321521351,0.01167847865,,,
ND,3/15/2020,0,0,0,0,0,0,,,
NE,3/15/2020,0,0,0,0,0,0,,,
NY,3/15/2020,2532.535675,2437.829314,2627.242036,0.04489795918,0.04315851952,0.04663739885,,,
OH,3/15/2020,333.1414474,297.8704248,368.4124699,0.01312335958,0.01171276572,0.01453395344,,,
OK,3/15/2020,207.9495268,180.274183,235.6248706,0.0176056338,0.01520483014,0.02000643747,,,
PA,3/15/2020,0,0,0,0,0,0,,,
PR,3/15/2020,64.43067847,49.01699186,79.84436507,0.009389671362,0.007071428868,0.01170791385,,,
RI,3/15/2020,31.18,20.48084585,41.87915415,0.01265822785,0.008170741731,0.01714571397,,,
TX,3/15/2020,3999.880185,3884.490152,4115.270218,0.06195409303,0.06001928473,0.06388890133,,,
VA,3/15/2020,0,0,0,0,0,0,,,
WA,3/15/2020,1071.641379,1010.293496,1132.989262,0.06486486486,0.06106650197,0.06866322776,,,
WI,3/15/2020,322.3436533,288.558782,356.1285245,0.03951367781,0.03519820373,0.0438291519,,,
WV,3/15/2020,0,0,0,0,0,0,,,
WY,3/15/2020,0,0,0,0,0,0,,,
CW,3/15/2020,28715.77355,28392.78418,29038.76292,0.03674356637,0.03632260026,0.03716453248,,,
AL,3/16/2020,0,0,0,0,0,0,,,
AR,3/16/2020,120.3950178,99.26761593,141.5224197,0.01023890785,0.008396227259,0.01208158844,,,
CA,3/16/2020,783.1925754,728.9019578,837.483193,0.0153256705,0.01425784703,0.01639349396,,,
FL,3/16/2020,2492.04,2395.511516,2588.568484,0.02631578947,0.02529604541,0.02733553354,,,
GA,3/16/2020,596.3233377,550.1015307,642.5451447,0.0350262697,0.03221712183,0.03783541757,,,
GU,3/16/2020,12.72327044,8.153019907,17.29352097,0.05,0.010073086,0.089926914,,,
HI,3/16/2020,48.20977354,37.19743635,59.22211073,0.0199252802,0.01311294096,0.02673761944,,,
IA,3/16/2020,0,0,0,0,0,0,,,
ID,3/16/2020,0,0,0,0,0,0,,,
IL,3/16/2020,0,0,0,0,0,0,,,
IN,3/16/2020,354.483871,318.228271,390.7394709,0.01812688822,0.0162410012,0.02001277523,,,
KS,3/16/2020,27.23797468,17.40846293,37.06748644,0.003454231434,0.002108901275,0.004799561592,,,
KY,3/16/2020,62.41132075,47.07398362,77.74865789,0.002898550725,0.0021746443,0.00362245715,,,
LA,3/16/2020,1282.417249,1215.574399,1349.2601,0.07061503417,0.06684322252,0.07438684582,,,
MD,3/16/2020,0,0,0,0,0,0,,,
ME,3/16/2020,60.42105263,45.72767525,75.11443001,0.02127659574,0.01583216315,0.02672102834,,,
MI,3/16/2020,613.1908397,565.6267999,660.7548795,0.03488372093,0.0321645541,0.03760288776,,,
MN,3/16/2020,0,0,0,0,0,0,,,
MO,3/16/2020,128.5334646,106.6417354,150.4251937,0.00622406639,0.005138654017,0.007309478763,,,
MS,3/16/2020,0,0,0,0,0,0,,,
MT,3/16/2020,0,0,0,0,0,0,,,
NC,3/16/2020,238.257874,208.6048327,267.9109153,0.01872659176,0.01634596302,0.0211072205,,,
ND,3/16/2020,0,0,0,0,0,0,,,
NE,3/16/2020,0,0,0,0,0,0,,,
NM,3/16/2020,0,0,0,0,0,0,,,
NY,3/16/2020,2277.740708,2188.289636,2367.19178,0.04488662656,0.04304543707,0.04672781605,,,
OH,3/16/2020,498.7026515,456.0379048,541.3673982,0.02443609023,0.02228959258,0.02658258787,,,
OK,3/16/2020,148.3729904,125.2537911,171.4921896,0.01583710407,0.01324720933,0.01842699881,,,
OR,3/16/2020,304.4093023,272.3965333,336.4220713,0.1,0.08919980961,0.1108001904,,,
PA,3/16/2020,67.69165247,51.70347891,83.67982603,0.002267573696,0.001723962008,0.002811185385,,,
