state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL
AL,3/15/2020,0,0,0,0,0,0,,,
AR,3/15/2020,862.7213115,827.0025853,898.4400376,0.6086956522,0.5830784879,0.6343128165,,,
CA,3/15/2020,3524.366589,3433.20019,3615.532988,0.3829787234,0.3730211818,0.392936265,,,
FL,3/15/2020,0,0,0,0,0,0,,,
GA,3/15/2020,1603.618902,1555.686101,1651.551704,0.6216216216,0.6027707362,0.640472507,,,
GU,3/15/2020,12.72327044,9.407662221,16.03887866,0.5,0.2103397215,0.7896602785,,,
HI,3/15/2020,144.6293206,131.8221526,157.4364886,0.5581395349,0.4841641954,0.6321148744,,,
IA,3/15/2020,0,0,0,0,0,0,,,
IL,3/15/2020,,,,,,,,,
IN,3/15/2020,1417.935484,1373.518442,1462.352525,0.6315789474,0.6114540071,0.6517038876,,,
KS,3/15/2020,258.5607477,236.5065302,280.6149652,0.4736842105,0.4302576137,0.5171108074,,,
KY,3/15/2020,1493.488294,1446.833799,1540.142789,0.6136363636,0.5941142884,0.6331584388,,,
LA,3/15/2020,1533.691358,1491.191539,1576.191177,0.6862745098,0.6668131697,0.7057358499,,,
MD,3/15/2020,,,,,,,,,
ME,3/15/2020,181.2631579,164.2477916,198.2785242,0.5625,0.5069388246,0.6180611754,,,
MI,3/15/2020,1226.381679,1180.218834,1272.544525,0.5454545455,0.5248218743,0.5660872166,,,
MN,3/15/2020,,,,,,,,,
MO,3/15/2020,,,,,,,,,
MS,3/15/2020,,,,,,,,,
MT,3/15/2020,134.3762376,118.8577752,149.8947001,0.5,0.4381124256,0.5618875744,,,
NC,3/15/2020,815.9662921,776.5228737,855.4097105,0.5,0.4756511976,0.5243488024,,,
ND,3/15/2020,87.77464789,74.9389187,100.6103771,0.5,0.4251776049,0.5748223951,,,
NE,3/15/2020,896.6968326,870.218684,923.1749812,0.7723577236,0.7468485763,0.7978668709,,,
NY,3/15/2020,6734.242591,6649.327533,6819.157648,0.7112462006,0.7019549302,0.7205374711,,,
OH,3/15/2020,2331.990132,2278.279727,2385.700536,0.6730769231,0.6573383992,0.6888154469,,,
OK,3/15/2020,756.0716846,730.0540194,782.0893498,0.7619047619,0.7351195418,0.788689982,,,
PA,3/15/2020,2798.239437,2742.869232,2853.609642,0.7142857143,0.7001264747,0.7284449539,,,
PR,3/15/2020,289.9380531,261.1249735,318.7511327,0.2307692308,0.2071014786,0.254436983,,,
RI,3/15/2020,124.72,109.4924271,139.9475729,0.5,0.4369301985,0.5630698015,,,
TX,3/15/2020,2843.234702,2751.514404,2934.955,0.1783567134,0.1722188184,0.1844946085,,,
WA,3/15/2020,1467.902834,1422.189714,1513.615955,0.6222222222,0.6024683064,0.6419761381,,,
WI,3/15/2020,591.7980296,558.5126926,625.0833665,0.5,0.471146454,0.528853546,,,
WV,3/15/2020,,,,,,,,,
WY,3/15/2020,0,0,0,0,0,0,,,
CW,3/15/2020,54324.12348,53975.50593,54672.74103,0.4081920904,0.4055300892,0.4108540916,,,
AL,3/16/2020,0,0,0,0,0,0,,,
AR,3/16/2020,722.3701068,688.6842685,756.055945,0.5806451613,0.5528763523,0.6084139703,,,
CA,3/16/2020,4111.761021,4018.522394,4204.999648,0.4468085106,0.4366246324,0.4569923889,,,
FL,3/16/2020,2492.04,2412.166854,2571.913146,0.3333333333,0.3226452745,0.3440213922,,,
GA,3/16/2020,1013.749674,971.3816896,1056.117658,0.5230769231,0.5004571504,0.5456966958,,,
GU,3/16/2020,12.72327044,9.407662221,16.03887866,0.5,0.2103397215,0.7896602785,,,
HI,3/16/2020,144.6293206,131.8221526,157.4364886,0.5581395349,0.4841641954,0.6321148744,,,
IA,3/16/2020,0,0,0,0,0,0,,,
ID,3/16/2020,,,,,,,,,
IL,3/16/2020,4772.875,4668.009963,4877.740037,0.4,0.391207899,0.408792101,,,
IN,3/16/2020,1654.258065,1613.711039,1694.80509,0.7368421053,0.7184706324,0.7552135781,,,
KS,3/16/2020,264.1098191,242.411733,285.8079052,0.5,0.4557380317,0.5442619683,,,
KY,3/16/2020,1685.10566,1635.496681,1734.71464,0.6136363636,0.5952769342,0.6319957931,,,
LA,3/16/2020,1447.890443,1406.625123,1489.155763,0.6862745098,0.6662309619,0.7063180577,,,
MD,3/16/2020,,,,,,,,,
ME,3/16/2020,120.8421053,104.2368081,137.4474025,0.375,0.3207778449,0.4292221551,,,
MI,3/16/2020,1021.984733,975.8218874,1068.147578,0.4545454545,0.4339127834,0.4751781257,,,
MN,3/16/2020,,,,,,,,,
MO,3/16/2020,0,0,0,0,0,0,,,
MS,3/16/2020,,,,,,,,,
MT,3/16/2020,134.3762376,118.8577752,149.8947001,0.5,0.4381124256,0.5618875744,,,
NC,3/16/2020,762.4251969,725.8444467,799.005947,0.5333333333,0.5071957733,0.5594708934,,,
ND,3/16/2020,131.6619718,120.5459043,142.7780394,0.75,0.6852019051,0.8147980949,,,
NE,3/16/2020,882.3052326,857.0524386,907.5580265,0.7886178862,0.7632585683,0.813977204,,,
NM,3/16/2020,,,,,,,,,
NY,3/16/2020,5846.983878,5774.670452,5919.297304,0.7568389058,0.7470622406,0.766615571,,,
OH,3/16/2020,1764.640152,1716.424351,1812.855952,0.6478873239,0.6297110898,0.666063558,,,
OK,3/16/2020,451.5068493,422.7172964,480.2964022,0.5,0.4666406768,0.5333593232,,,
OR,3/16/2020,152.2046512,133.7220704,170.687232,0.4,0.3501160574,0.4498839426,,,
PA,3/16/2020,1692.291312,1641.37445,1743.208174,0.5952380952,0.5770603145,0.613415876,,,
PR,3/16/2020,322.1533923,292.292224,352.0145607,0.2564102564,0.2318815791,0.2809389337,,,
RI,3/16/2020,124.72,109.4924271,139.9475729,0.5,0.4369301985,0.5630698015,,,
TN,3/16/2020,772.2222222,733.8336765,810.610768,0.5,0.4749821208,0.5250178792,,,
TX,3/16/2020,3018.940217,2925.04248,3112.837955,0.189,0.1827289585,0.1952710415,,,
UT,3/16/2020,0,0,0,0,0,0,,,
