time,"Ballygunge Phari, Kolkata - Cleair","Ballygunge, Kolkata - WBPCB","Behala Buro Shibtala, Kolkata - Cleair","Beleghata Building More, Kolkata - Cleair","Belur Math, Howrah - WBPCB","Bidhannagar, Kolkata - WBPCB","Ekbalpur, Kolkata - Cleair","Fort William, Kolkata - WBPCB","Garia, Kolkata - Cleair","Ghusuri, Howrah - WBPCB","Jadavpur, Kolkata - WBPCB","Padmapukur, Howrah - WBPCB","Rabindra Bharati University, Kolkata - Cleair","Rabindra Bharati University, Kolkata - WBPCB","Rabindra Sarobar, Kolkata - WBPCB","Ruby More / Simla Restaurant, Kolkata - Cleair","Shyam Bazar, Kolkata - Cleair","Taratala More, Kolkata - Cleair","Topsia More, Kolkata - Cleair",US Diplomatic Post: Kolkata,"Victoria, Kolkata - WBPCB"
2019-09-01 00:00:00,,14.38,,,32.66,2.62,,28.88,,36.32,16.83,13.04,,33.38,13.12,,,,,,22.27
2019-09-01 01:00:00,,14.03,,,33.02,3.43,,32.58,,34.07,17.27,23.11,,32.12,12.93,,,,,,22.48
2019-09-01 02:00:00,,13.87,,,30.97,3.17,,29.87,,31.6,16.81,17.91,,24.12,12.77,,,,,,19.95
2019-09-01 03:00:00,,15.49,,,30.87,2.82,,25.88,,33.7,16.44,14.07,,28.9,11.15,,,,,,20.03
2019-09-01 04:00:00,,16.23,,,35.12,2.62,,21.44,,38.02,17.25,10.77,,25.62,9.82,,,,,,24.05
2019-09-01 05:00:00,,18.54,,,35.32,2.34,,28.38,,38.58,17.9,8.0,,34.83,10.78,,,,,,33.25
2019-09-01 06:00:00,,19.6,,,35.41,4.06,,29.07,,50.1,19.69,6.35,,37.38,11.56,,,,,,33.7
2019-09-01 07:00:00,,17.95,,,35.42,6.38,,34.95,,43.4,21.14,15.54,,48.12,14.61,,,,,,41.2
2019-09-01 08:00:00,,17.2,,,39.06,8.13,,31.73,,58.65,23.87,25.49,,42.67,17.11,,,,,,40.08
2019-09-01 09:00:00,,23.72,,,39.23,10.5,,34.66,,54.5,26.07,25.58,,50.73,20.19,,,,,,38.25
2019-09-01 10:00:00,,26.7,,,32.52,9.83,,43.8,,54.35,29.9,24.6,,51.5,22.71,,,,,,33.5
2019-09-01 11:00:00,,27.11,,,32.21,8.92,,39.7,,56.15,32.96,30.74,,50.7,24.36,,,,,,36.35
2019-09-01 12:00:00,,27.3,,,36.53,9.17,,40.75,,66.48,30.93,23.42,,50.25,25.72,,,,,,40.15
2019-09-01 13:00:00,,26.98,,,36.73,9.5,,51.27,,64.78,29.31,26.48,,47.18,28.45,,,,,,40.05
