namelsad,countyfp_nozero,name,lsad,stusab,countyfp,classfp,statefp,geoid,countyns,mtfcc,area
Clay County,27,Clay,06,AL,027,H1,01,01027,00161539,G4020,2240670102.6448336
Beaver County,7,Beaver,06,PA,007,H1,42,42007,01214112,G4020,1994177252.5996053
James City County,95,James City,06,VA,095,H1,51,51095,01480135,G4020,731685918.7907209
Allen County,3,Allen,06,KY,003,H1,21,21003,00516848,G4020,1416136330.426448
Leelanau County,89,Leelanau,06,MI,089,H1,26,26089,01622987,G4020,13142555591.44928
Bond County,5,Bond,06,IL,005,H1,17,17005,00424204,G4020,1632190664.94181
Clark County,19,Clark,06,AR,019,H1,05,05019,00066845,G4020,3323830792.0595913
Fulton County,49,Fulton,06,AR,049,H1,05,05049,00066854,G4020,2472919039.8676214
Aitkin County,1,Aitkin,06,MN,001,H1,27,27001,00663198,G4020,10911716052.804234
Butler County,13,Butler,06,AL,013,H1,01,01013,00161532,G4020,2781206477.6406393
Grafton County,9,Grafton,06,NH,009,H1,33,33009,00873178,G4020,8712377417.262741
Alamosa County,3,Alamosa,06,CO,003,H1,08,08003,00198117,G4020,2974719090.074448
Essex County,31,Essex,06,NY,031,H1,36,36031,00974114,G4020,9598511015.902487
Hart County,147,Hart,06,GA,147,H1,13,13147,01687995,G4020,974272787.444472
Moffat County,81,Moffat,06,CO,081,H1,08,08081,00198156,G4020,21295895825.238407
Cowley County,35,Cowley,06,KS,035,H1,20,20035,00484987,G4020,4616113206.384939
Johnson County,71,Johnson,06,AR,071,H1,05,05071,00066863,G4020,2665529158.118476
Buckingham County,29,Buckingham,06,VA,029,H1,51,51029,01501502,G4020,2399543580.642366
Stone County,209,Stone,06,MO,209,H1,29,29209,00758557,G4020,2054856628.5824687
Clarke County,39,Clarke,06,IA,039,H1,19,19039,00465209,G4020,1959319140.6404107
Howard County,89,Howard,06,MO,089,H1,29,29089,00758499,G4020,2024587163.532229
Lee County,103,Lee,06,IL,103,H1,17,17103,00424253,G4020,3379618941.0819206
Pottawatomie County,149,Pottawatomie,06,KS,149,H1,20,20149,00485038,G4020,3725093064.1339974
Manatee County,81,Manatee,06,FL,081,H1,12,12081,00295744,G4020,2933367547.534677
Kenton County,117,Kenton,06,KY,117,H1,21,21117,00516905,G4020,701388482.6425691
Shackelford County,417,Shackelford,06,TX,417,H1,48,48417,01383994,G4020,3344735319.6118875
Chisago County,25,Chisago,06,MN,025,H1,27,27025,00659458,G4020,2324522769.7073717
Washington County,189,Washington,06,IL,189,H1,17,17189,01785150,G4020,2368740744.254121
Scott County,127,Scott,06,AR,127,H1,05,05127,00069179,G4020,3447260359.9722543
Scott County,171,Scott,06,IL,171,H1,17,17171,00424286,G4020,1100585846.4884903
Porter County,127,Porter,06,IN,127,H1,18,18127,00450382,G4020,2402899720.1118617
Tuolumne County,109,Tuolumne,06,CA,109,H1,06,06109,00277319,G4020,9469760200.605206
Sumter County,261,Sumter,06,GA,261,H1,13,13261,00343504,G4020,1772238674.0242853
Montezuma County,83,Montezuma,06,CO,083,H1,08,08083,00198157,G4020,8337305731.56908
New Haven County,9,New Haven,06,CT,009,H4,09,09009,00212798,G4020,3950398438.6215076
