,value2,value,count,raw_left_value,raw_left_value2,variable,variable2
0,-2.392 - -1.791,-2.392 - -1.791,0.05089963282135561,-2.392,-2.392,logPOP,logPOP
11,-1.791 - -1.19,-1.791 - -1.19,0.16966544273785214,-1.791,-1.791,logPOP,logPOP
22,-1.19 - -0.5885,-1.19 - -0.5885,0.6362454102669456,-1.19,-1.19,logPOP,logPOP
33,-0.5885 - 0.01286,-0.5885 - 0.01286,0.7974275808679047,-0.5885,-0.5885,logPOP,logPOP
44,0.01286 - 0.6142,0.01286 - 0.6142,0.39023051829705974,0.01286,0.01286,logPOP,logPOP
55,0.6142 - 1.216,0.6142 - 1.216,0.3562974297494898,0.6142,0.6142,logPOP,logPOP
66,1.216 - 1.817,1.216 - 1.817,0.2460148919698851,1.216,1.216,logPOP,logPOP
77,1.817 - 2.418,1.817 - 2.418,0.07634944923203353,1.817,1.817,logPOP,logPOP
88,2.418 - 3.019,2.418 - 3.019,0.025449816410677843,2.418,2.418,logPOP,logPOP
99,3.019 - 3.621,3.019 - 3.621,0.016966544273785154,3.019,3.019,logPOP,logPOP
0,-2.357 - -1.9,-2.392 - -1.791,0.0334653528449547,-2.392,-2.357,logPOP,dPOP
1,-1.9 - -1.442,-2.392 - -1.791,0.011155117614984906,-2.392,-1.9,logPOP,dPOP
3,-0.9851 - -0.5278,-2.392 - -1.791,0.011155117614984902,-2.392,-0.9851,logPOP,dPOP
10,-2.357 - -1.9,-1.791 - -1.19,0.011155117614984902,-1.791,-2.357,logPOP,dPOP
11,-1.9 - -1.442,-1.791 - -1.19,0.02231023522996981,-1.791,-1.9,logPOP,dPOP
12,-1.442 - -0.9851,-1.791 - -1.19,0.07808582330489434,-1.791,-1.442,logPOP,dPOP
13,-0.9851 - -0.5278,-1.791 - -1.19,0.0334653528449547,-1.791,-0.9851,logPOP,dPOP
14,-0.5278 - -0.07046,-1.791 - -1.19,0.022310235229969805,-1.791,-0.5278,logPOP,dPOP
16,0.3868 - 0.8441,-1.791 - -1.19,0.011155117614984892,-1.791,0.3868,logPOP,dPOP
20,-2.357 - -1.9,-1.19 - -0.5885,0.022310235229969805,-1.19,-2.357,logPOP,dPOP
21,-1.9 - -1.442,-1.19 - -0.5885,0.05577558807492452,-1.19,-1.9,logPOP,dPOP
22,-1.442 - -0.9851,-1.19 - -0.5885,0.20079211706972827,-1.19,-1.442,logPOP,dPOP
23,-0.9851 - -0.5278,-1.19 - -0.5885,0.11155117614984901,-1.19,-0.9851,logPOP,dPOP
24,-0.5278 - -0.07046,-1.19 - -0.5885,0.011155117614984902,-1.19,-0.5278,logPOP,dPOP
26,0.3868 - 0.8441,-1.19 - -0.5885,0.03346535284495468,-1.19,0.3868,logPOP,dPOP
27,0.8441 - 1.301,-1.19 - -0.5885,0.02231023522996982,-1.19,0.8441,logPOP,dPOP
31,-1.9 - -1.442,-0.5885 - 0.01286,0.033465352844954714,-0.5885,-1.9,logPOP,dPOP
32,-1.442 - -0.9851,-0.5885 - 0.01286,0.06693070568990943,-0.5885,-1.442,logPOP,dPOP
33,-0.9851 - -0.5278,-0.5885 - 0.01286,0.3011881756045923,-0.5885,-0.9851,logPOP,dPOP
34,-0.5278 - -0.07046,-0.5885 - 0.01286,0.0780858233048943,-0.5885,-0.5278,logPOP,dPOP
35,-0.07046 - 0.3868,-0.5885 - 0.01286,0.01115511761498491,-0.5885,-0.07046,logPOP,dPOP
36,0.3868 - 0.8441,-0.5885 - 0.01286,0.011155117614984892,-0.5885,0.3868,logPOP,dPOP
38,1.301 - 1.759,-0.5885 - 0.01286,0.02231023522996982,-0.5885,1.301,logPOP,dPOP
41,-1.9 - -1.442,0.01286 - 0.6142,0.033465352844954714,0.01286,-1.9,logPOP,dPOP
42,-1.442 - -0.9851,0.01286 - 0.6142,0.1784818818397585,0.01286,-1.442,logPOP,dPOP
43,-0.9851 - -0.5278,0.01286 - 0.6142,0.22310235229969802,0.01286,-0.9851,logPOP,dPOP
44,-0.5278 - -0.07046,0.01286 - 0.6142,0.12270629376483391,0.01286,-0.5278,logPOP,dPOP
45,-0.07046 - 0.3868,0.01286 - 0.6142,0.03346535284495473,0.01286,-0.07046,logPOP,dPOP
46,0.3868 - 0.8441,0.01286 - 0.6142,0.022310235229969784,0.01286,0.3868,logPOP,dPOP
47,0.8441 - 1.301,0.01286 - 0.6142,0.01115511761498491,0.01286,0.8441,logPOP,dPOP
51,-1.9 - -1.442,0.6142 - 1.216,0.033465352844954714,0.6142,-1.9,logPOP,dPOP
52,-1.442 - -0.9851,0.6142 - 1.216,0.11155117614984904,0.6142,-1.442,logPOP,dPOP
53,-0.9851 - -0.5278,0.6142 - 1.216,0.12270629376483391,0.6142,-0.9851,logPOP,dPOP
54,-0.5278 - -0.07046,0.6142 - 1.216,0.10039605853486412,0.6142,-0.5278,logPOP,dPOP
55,-0.07046 - 0.3868,0.6142 - 1.216,0.05577558807492454,0.6142,-0.07046,logPOP,dPOP
56,0.3868 - 0.8441,0.6142 - 1.216,0.011155117614984892,0.6142,0.3868,logPOP,dPOP
57,0.8441 - 1.301,0.6142 - 1.216,0.01115511761498491,0.6142,0.8441,logPOP,dPOP
59,1.759 - 2.216,0.6142 - 1.216,0.011155117614984885,0.6142,1.759,logPOP,dPOP
61,-1.9 - -1.442,1.216 - 1.817,0.011155117614984906,1.216,-1.9,logPOP,dPOP
62,-1.442 - -0.9851,1.216 - 1.817,0.10039605853486414,1.216,-1.442,logPOP,dPOP
63,-0.9851 - -0.5278,1.216 - 1.817,0.11155117614984901,1.216,-0.9851,logPOP,dPOP
64,-0.5278 - -0.07046,1.216 - 1.817,0.04462047045993961,1.216,-0.5278,logPOP,dPOP
65,-0.07046 - 0.3868,1.216 - 1.817,0.08924094091987927,1.216,-0.07046,logPOP,dPOP
66,0.3868 - 0.8441,1.216 - 1.817,0.03346535284495468,1.216,0.3868,logPOP,dPOP
67,0.8441 - 1.301,1.216 - 1.817,0.02231023522996982,1.216,0.8441,logPOP,dPOP
68,1.301 - 1.759,1.216 - 1.817,0.01115511761498491,1.216,1.301,logPOP,dPOP
71,-1.9 - -1.442,1.817 - 2.418,0.02231023522996981,1.817,-1.9,logPOP,dPOP
72,-1.442 - -0.9851,1.817 - 2.418,0.08924094091987925,1.817,-1.442,logPOP,dPOP
73,-0.9851 - -0.5278,1.817 - 2.418,0.12270629376483391,1.817,-0.9851,logPOP,dPOP
74,-0.5278 - -0.07046,1.817 - 2.418,0.04462047045993961,1.817,-0.5278,logPOP,dPOP
75,-0.07046 - 0.3868,1.817 - 2.418,0.14501652899480383,1.817,-0.07046,logPOP,dPOP
76,0.3868 - 0.8441,1.817 - 2.418,0.07808582330489425,1.817,0.3868,logPOP,dPOP
77,0.8441 - 1.301,1.817 - 2.418,0.01115511761498491,1.817,0.8441,logPOP,dPOP
79,1.759 - 2.216,1.817 - 2.418,0.011155117614984885,1.817,1.759,logPOP,dPOP
82,-1.442 - -0.9851,2.418 - 3.019,0.011155117614984906,2.418,-1.442,logPOP,dPOP
83,-0.9851 - -0.5278,2.418 - 3.019,0.011155117614984902,2.418,-0.9851,logPOP,dPOP
84,-0.5278 - -0.07046,2.418 - 3.019,0.0669307056899094,2.418,-0.5278,logPOP,dPOP
85,-0.07046 - 0.3868,2.418 - 3.019,0.06693070568990946,2.418,-0.07046,logPOP,dPOP
86,0.3868 - 0.8441,2.418 - 3.019,0.06693070568990936,2.418,0.3868,logPOP,dPOP
87,0.8441 - 1.301,2.418 - 3.019,0.02231023522996982,2.418,0.8441,logPOP,dPOP
94,-0.5278 - -0.07046,3.019 - 3.621,0.022310235229969826,3.019,-0.5278,logPOP,dPOP
95,-0.07046 - 0.3868,3.019 - 3.621,0.06693070568990951,3.019,-0.07046,logPOP,dPOP
96,0.3868 - 0.8441,3.019 - 3.621,0.05577558807492452,3.019,0.3868,logPOP,dPOP
2,-1.308 - -0.6268,-2.392 - -1.791,0.014968297953318893,-2.392,-1.308,logPOP,0-19
10,-2.672 - -1.99,-1.791 - -1.19,0.022452446929978328,-1.791,-2.672,logPOP,0-19
11,-1.99 - -1.308,-1.791 - -1.19,0.029936595906637786,-1.791,-1.99,logPOP,0-19
12,-1.308 - -0.6268,-1.791 - -1.19,0.05238904283661611,-1.791,-1.308,logPOP,0-19
13,-0.6268 - 0.05478,-1.791 - -1.19,0.059873191813275536,-1.791,-0.6268,logPOP,0-19
14,0.05478 - 0.7364,-1.791 - -1.19,0.022452446929978328,-1.791,0.05478,logPOP,0-19
15,0.7364 - 1.418,-1.791 - -1.19,0.007484148976659447,-1.791,0.7364,logPOP,0-19
16,1.418 - 2.1,-1.791 - -1.19,0.007484148976659437,-1.791,1.418,logPOP,0-19
20,-2.672 - -1.99,-1.19 - -0.5885,0.01496829795331889,-1.19,-2.672,logPOP,0-19
21,-1.99 - -1.308,-1.19 - -0.5885,0.044904893859956684,-1.19,-1.99,logPOP,0-19
22,-1.308 - -0.6268,-1.19 - -0.5885,0.13471468157987004,-1.19,-1.308,logPOP,0-19
23,-0.6268 - 0.05478,-1.19 - -0.5885,0.15716712850984835,-1.19,-0.6268,logPOP,0-19
24,0.05478 - 0.7364,-1.19 - -0.5885,0.037420744883297226,-1.19,0.05478,logPOP,0-19
25,0.7364 - 1.418,-1.19 - -0.5885,0.0299365959066378,-1.19,0.7364,logPOP,0-19
26,1.418 - 2.1,-1.19 - -0.5885,0.04490489385995664,-1.19,1.418,logPOP,0-19
27,2.1 - 2.781,-1.19 - -0.5885,0.00748414897665945,-1.19,2.1,logPOP,0-19
30,-2.672 - -1.99,-0.5885 - 0.01286,0.00748414897665944,-0.5885,-2.672,logPOP,0-19
31,-1.99 - -1.308,-0.5885 - 0.01286,0.03742074488329721,-0.5885,-1.99,logPOP,0-19
32,-1.308 - -0.6268,-0.5885 - 0.01286,0.14968297953318885,-0.5885,-1.308,logPOP,0-19
33,-0.6268 - 0.05478,-0.5885 - 0.01286,0.2394927672531021,-0.5885,-0.6268,logPOP,0-19
34,0.05478 - 0.7364,-0.5885 - 0.01286,0.08980978771991328,-0.5885,0.05478,logPOP,0-19
35,0.7364 - 1.418,-0.5885 - 0.01286,0.05238904283661611,-0.5885,0.7364,logPOP,0-19
36,1.418 - 2.1,-0.5885 - 0.01286,0.04490489385995661,-0.5885,1.418,logPOP,0-19
