NOC,Medal
AFG,2
AHO,1
ALG,17
ANZ,29
ARG,274
ARM,16
AUS,1320
AUT,450
AZE,44
BAH,40
BAR,1
BDI,2
BEL,468
BER,1
BLR,139
BOH,12
BOT,1
BRA,475
BRN,3
BUL,342
CAN,1352
CHI,32
CHN,989
CIV,3
CMR,22
COL,28
CRC,4
CRO,149
CUB,409
CYP,1
CZE,144
DEN,597
DJI,1
DOM,7
ECU,2
EGY,27
ERI,1
ESP,489
EST,50
ETH,53
EUN,279
FIJ,13
FIN,900
FRA,1777
FRG,586
GAB,1
GBR,2068
GDR,1005
GEO,32
GER,2165
GHA,23
GRE,255
GRN,2
GUA,1
GUY,1
HAI,7
HKG,4
HUN,1135
INA,41
IND,197
IOA,5
IRI,68
IRL,35
IRQ,1
ISL,17
ISR,9
ISV,1
ITA,1637
JAM,157
JOR,1
JPN,913
KAZ,77
KEN,106
KGZ,3
KOR,638
KOS,1
KSA,6
KUW,2
LAT,35
LIB,4
LIE,9
LTU,61
LUX,8
MAR,23
MAS,16
MDA,8
MEX,110
MGL,26
MKD,1
MNE,14
MON,1
MOZ,2
MRI,1
NAM,4
NED,1040
NEP,1
NGR,99
NIG,2
NOR,1033
NZL,228
PAK,121
PAN,3
PAR,17
PER,15
PHI,10
POL,565
POR,41
PRK,67
PUR,9
QAT,5
ROU,653
RSA,131
RUS,1165
SCG,64
SEN,1
SGP,9
SLO,48
SRB,85
SRI,2
SUD,1
SUI,691
SUR,2
SVK,47
SWE,1536
SYR,3
TAN,2
TCH,488
TGA,1
THA,30
TJK,4
TOG,1
TPE,49
TTO,32
TUN,13
TUR,95
UAE,2
UAR,2
UGA,7
UKR,199
URS,2503
URU,63
USA,5637
UZB,34
VEN,15
VIE,4
WIF,5
YUG,390
ZAM,2
ZIM,22
